"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"MARLBORO","MARLBORO",119,298,NA
"MARLBORO 100'S","MARLBORO 100'S",7,305,NA
"MARLBORO 25'S","MARLBORO 25'S",1,306,NA
"MARLBORO BLACK","MARLBORO BLACK",26,332,NA
"MARLBORO BLEND NO. 27","MARLBORO BLEND NO. 27",3,335,NA
"MARLBORO BLUE","MARLBORO BLUE",1,336,NA
"MARLBORO EDGE","MARLBORO EDGE",1,337,NA
"MARLBORO EDGE BLACK","MARLBORO EDGE BLACK",2,339,NA
"MARLBORO EIGHTY-THREES","MARLBORO EIGHTY-THREES",1,340,NA
"MARLBORO GOLD","MARLBORO GOLD",80,420,NA
"MARLBORO GREEN","MARLBORO GREEN",14,434,NA
"MARLBORO MIDNIGHT BLACK","MARLBORO MIDNIGHT BLACK",1,435,NA
"MARLBORO NXT BLACK","MARLBORO NXT BLACK",1,436,NA
"MARLBORO NXT GREEN","MARLBORO NXT GREEN",1,437,NA
"MARLBORO RED","MARLBORO RED",14,451,NA
"MARLBORO SILVER","MARLBORO SILVER",29,480,NA
"MARLBORO SKYLINE","MARLBORO SKYLINE",2,482,NA
"MAVERICK","MAVERICK",26,508,NA
"MAVERICK GOLD","MAVERICK GOLD",1,509,NA
"MAVERICK RED","MAVERICK RED",7,516,NA
"MERIT BLUE","MERIT BLUE",1,517,NA
"MISTY GREEN","MISTY GREEN",2,519,NA
"MONTEGO","MONTEGO",1,520,NA
"NAT SHERMAN NATURALS","NAT SHERMAN NATURALS",1,521,NA
"NATURAL AMERICAN SPIRIT","NATURAL AMERICAN SPIRIT",21,542,NA
"NATURAL BLEND","NATURAL BLEND",4,546,NA
"NEWPORT","NEWPORT",198,744,NA
"NEWPORT BLUE","NEWPORT BLUE",1,745,NA
"NEWPORT GOLD","NEWPORT GOLD",4,749,NA
"OPAL","OPAL",1,750,NA
"PALL MALL","PALL MALL",31,781,NA
"PALL MALL BLUE","PALL MALL BLUE",3,784,NA
"PALL MALL ORANGE","PALL MALL ORANGE",5,789,NA
"PALL MALL RED","PALL MALL RED",15,804,NA
"PALL MALL WHITE","PALL MALL WHITE",2,806,NA
"PARLIAMENT","PARLIAMENT",3,809,NA
"PLAYERS CANADIAN","PLAYERS CANADIAN",1,810,NA
"PYRAMID GOLD","PYRAMID GOLD",1,811,NA
"PYRAMID RED","PYRAMID RED",4,815,NA
"QUALITY DELUXE","QUALITY DELUXE",1,816,NA
"SALEM","SALEM",5,821,NA
"SALEM BLACK","SALEM BLACK",1,822,NA
"SALEM GOLD","SALEM GOLD",4,826,NA
"SANDIA","SANDIA",1,827,NA
"SENECA","SENECA",22,849,NA
"SENECA BLUE","SENECA BLUE",3,852,NA
"SHERIFF","SHERIFF",1,853,NA
"SHERIFF BLUE","SHERIFF BLUE",1,854,NA
"SHERMAN'S MCD","SHERMAN'S MCD",2,856,NA
"SHIELD SILVER","SHIELD SILVER",1,857,NA
"SILVER CLOUD RED","SILVER CLOUD RED",1,858,NA
"SMOKE 1","SMOKE 1",1,859,NA
"SMOKIN JOES PURPLE","SMOKIN JOES PURPLE",1,860,NA
"SONOMA","SONOMA",3,863,NA
"SPORT RED","SPORT RED",1,864,NA
"TIMELESS TIME","TIMELESS TIME",7,871,NA
"TIMELESS TIME RED","TIMELESS TIME RED",1,872,NA
"TRAFFIC","TRAFFIC",1,873,NA
"USA","USA",1,874,NA
"USA BLUE","USA BLUE",1,875,NA
"USA GOLD","USA GOLD",19,894,NA
"USA GOLD RED","USA GOLD RED",1,895,NA
"VIRGINIA SLIMS","VIRGINIA SLIMS",5,900,NA
"VIRGINIA SLIMS GOLD","VIRGINIA SLIMS GOLD",3,903,NA
"VIRGINIA SLIMS SUPERSLIMS","VIRGINIA SLIMS SUPERSLIMS",1,904,NA
"WAVE","WAVE",3,907,NA
"WAVE GREEN","WAVE GREEN",1,908,NA
"WILD HORSE GOLD","WILD HORSE GOLD",1,909,NA
"WINGS","WINGS",2,911,NA
"WINGS GOLD","WINGS GOLD",1,912,NA
"WINGS RED","WINGS RED",2,914,NA
"WINSTON","WINSTON",7,921,NA
"WINSTON RED","WINSTON RED",2,923,NA
"XIONGSHI","XIONGSHI",1,924,NA
"* OTHER BRAND *","OTHER BRAND",5,929,NA
"< blank >","Missing",5795,6724,NA
