"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"PALL MALL BLACK","PALL MALL BLACK",1,874,NA
"PALL MALL BLUE","PALL MALL BLUE",16,890,NA
"PALL MALL ORANGE","PALL MALL ORANGE",5,895,NA
"PALL MALL RED","PALL MALL RED",26,921,NA
"PALL MALL WHITE","PALL MALL WHITE",2,923,NA
"PARLIAMENT","PARLIAMENT",3,926,NA
"PARLIAMENT WHITE","PARLIAMENT WHITE",1,927,NA
"PYRAMID","PYRAMID",3,930,NA
"PYRAMID BLUE","PYRAMID BLUE",2,932,NA
"PYRAMID GOLD","PYRAMID GOLD",2,934,NA
"PYRAMID ORANGE","PYRAMID ORANGE",3,937,NA
"PYRAMID RED","PYRAMID RED",5,942,NA
"PYRAMID RICH GREEN","PYRAMID RICH GREEN",1,943,NA
"PYRAMID SILVER","PYRAMID SILVER",1,944,NA
"QUALITY DELUXE","QUALITY DELUXE",1,945,NA
"SALEM","SALEM",3,948,NA
"SALEM GOLD","SALEM GOLD",5,953,NA
"SALEM GREEN","SALEM GREEN",1,954,NA
"SENECA","SENECA",10,964,NA
"SENECA BLUE","SENECA BLUE",1,965,NA
"SILVER EAGLE","SILVER EAGLE",1,966,NA
"SONOMA","SONOMA",3,969,NA
"STATE EXPRESS 555","STATE EXPRESS 555",1,970,NA
"TIMELESS TIME","TIMELESS TIME",2,972,NA
"TIMELESS TIME RED","TIMELESS TIME RED",5,977,NA
"USA GOLD","USA GOLD",6,983,NA
"USA SILVER","USA SILVER",1,984,NA
"VIRGINIA SLIMS","VIRGINIA SLIMS",3,987,NA
"VIRGINIA SLIMS GOLD","VIRGINIA SLIMS GOLD",2,989,NA
"VIRGINIA SLIMS SILVER","VIRGINIA SLIMS SILVER",1,990,NA
"VIRGINIA SLIMS SUPERSLIMS","VIRGINIA SLIMS SUPERSLIMS",2,992,NA
"WAVE","WAVE",3,995,NA
"WESTPORT","WESTPORT",1,996,NA
"WINSTON","WINSTON",4,1000,NA
"WINSTON RED","WINSTON RED",4,1004,NA
"< blank >","Missing",5997,7001,NA
