subject,predicate,value
<http://dbpedia.org/resource/Philippines>,rdfs:label,Philippines
<http://dbpedia.org/resource/Republic_of_Ireland>,rdfs:label,Republic of Ireland
<http://dbpedia.org/resource/Republic_of_Ireland>,rdfs:label,Republic of Ireland
<http://dbpedia.org/resource/South_Korea>,rdfs:label,South Korea
<http://dbpedia.org/resource/United_Kingdom>,rdfs:label,United Kingdom
<http://dbpedia.org/resource/United_States>,rdfs:label,United States
BFO:0000015,rdfs:label,process
BFO:0000016,rdfs:label,disposition
BFO:0000019,rdfs:label,quality
BFO:0000020,rdfs:label,material property
BFO:0000023,rdfs:label,role
BFO:0000029,rdfs:label,site
BFO:0000034,rdfs:label,function
BFO:0000040,rdfs:label,material entity
BTO:0000007,rdfs:label,HEK-293 cell
BTO:0000018,rdfs:label,A-549 cell
BTO:0000133,rdfs:label,blood serum
BTO:0000152,rdfs:label,infected cell
BTO:0000155,rdfs:label,bronchoalveolar lavage
BTO:0000164,rdfs:label,Burkitt lymphoma cell
BTO:0000214,rdfs:label,cell culture
BTO:0000221,rdfs:label,cell suspension culture
BTO:0000238,rdfs:label,cerebrovascular endothelial cell
BTO:0000256,rdfs:label,myoblast cell line
BTO:0000281,rdfs:label,conidiophore
BTO:0000305,rdfs:label,crypt
BTO:0000332,rdfs:label,culture condition:dark-grown cell
BTO:0000377,rdfs:label,elementary body
BTO:0000381,rdfs:label,embryonic blood
BTO:0000383,rdfs:label,renal cell carcinoma cell line
BTO:0000407,rdfs:label,osteosarcoma cell line
BTO:0000426,rdfs:label,erythroleukemia cell
BTO:0000488,rdfs:label,lower epidermis
BTO:0000515,rdfs:label,haustorium
BTO:0000551,rdfs:label,lung cancer cell
BTO:0000583,rdfs:label,bone marrow cancer cell
BTO:0000664,rdfs:label,obsolete_K-562 cell
BTO:0000690,rdfs:label,brain cancer cell line
BTO:0000740,rdfs:label,myeloid leukemia cell line
BTO:0000797,rdfs:label,colonic cancer cell line
BTO:0000849,rdfs:label,melanoma cell line
BTO:0001030,rdfs:label,J774.2 cell
BTO:0001033,rdfs:label,prostate cancer cell line
BTO:0001038,rdfs:label,peritrophic membrane
BTO:0001093,rdfs:label,WEHI-231 cell
BTO:0001130,rdfs:label,prostate gland cancer cell
BTO:0001205,rdfs:label,RT4-D6P2T cell
BTO:0001383,rdfs:label,alveolar bone
BTO:0001384,rdfs:label,tissue culture
BTO:0001436,rdfs:label,mycelium
BTO:0001516,rdfs:label,BA/F3 cell
BTO:0001518,rdfs:label,B-lymphoma cell line
BTO:0001615,rdfs:label,colorectal cancer cell
BTO:0001616,rdfs:label,colorectal cancer cell line
BTO:0001629,rdfs:label,obsolete_left ventricle
BTO:0001630,rdfs:label,obsolete_right ventricle
BTO:0001678,rdfs:label,obsolete_Th1-cell
BTO:0001679,rdfs:label,obsolete_Th2-cell
BTO:0001708,rdfs:label,coelomic fluid
BTO:0001795,rdfs:label,anterior silk gland
BTO:0001899,rdfs:label,stationary phase culture
BTO:0001900,rdfs:label,growth phase culture
BTO:0001903,rdfs:label,logarithmic phase culture
BTO:0001948,rdfs:label,JURKAT E-6.1 cell
BTO:0001967,rdfs:label,cervical cancer cell line
BTO:0002178,rdfs:label,HMEpC cell
BTO:0002179,rdfs:label,184A1N4 cell
BTO:0002180,rdfs:label,184B5 cell
BTO:0002217,rdfs:label,culture supernatant
BTO:0002278,rdfs:label,macrophage cell line
BTO:0002279,rdfs:label,J-774 cell
BTO:0002488,rdfs:label,uterine leiomyosarcoma cell line
BTO:0002599,rdfs:label,RBA-2 cell
BTO:0002690,rdfs:label,biofilm
BTO:0002842,rdfs:label,cholangioma cell
BTO:0002844,rdfs:label,breast invasive ductal carcinoma cell
BTO:0003147,rdfs:label,obsolete_juvenile leaf
BTO:0003250,rdfs:label,colonic epithelium cell line
BTO:0003264,rdfs:label,HL-1 cell
BTO:0003699,rdfs:label,C1R cell
BTO:0004059,rdfs:label,CCD-18Co cell
BTO:0004263,rdfs:label,COM-3 cell
BTO:0004264,rdfs:label,INC-2 cell
BTO:0004298,rdfs:label,corneal epithelial cell
BTO:0004578,rdfs:label,vascular smooth muscle cell
BTO:0004687,rdfs:label,orbit
BTO:0005136,rdfs:label,ES-E14 cell
BTO:0005339,rdfs:label,Ma-Mel-11 cell
CHEBI:100241,rdfs:label,ciprofloxacin
CHEBI:100246,rdfs:label,norfloxacin
CHEBI:10033,rdfs:label,warfarin
CHEBI:101278,rdfs:label,diltiazem
CHEBI:106304,rdfs:label,sphingomyelin d18:1/16:0
CHEBI:106363,rdfs:label,sphingomyelin d18:1/16:1
CHEBI:107726,rdfs:label,sphingomyelin d18:1/24:1
CHEBI:11009,rdfs:label,(R)-3-phenyllactate
CHEBI:11424,rdfs:label,"2,3-dihydroxy-3-methylbutanoate"
CHEBI:114785,rdfs:label,erlotinib
CHEBI:1148,rdfs:label,2-hydroxybutyric acid
CHEBI:11596,rdfs:label,2-hydroxyglutarate(2-)
CHEBI:116314,rdfs:label,oleamide
CHEBI:11805,rdfs:label,3-hydroxyisobutyrate
CHEBI:11851,rdfs:label,3-methyl-2-oxobutanoate
CHEBI:11892,rdfs:label,N-carbamoyl-beta-alaninate
CHEBI:11951,rdfs:label,4-acetamidobutanoate
CHEBI:1224,rdfs:label,2-nitrofluorene
CHEBI:124991,rdfs:label,cefalotin
CHEBI:12777,rdfs:label,vitamin A
CHEBI:131444,rdfs:label,guanidinoacetate
CHEBI:132002,rdfs:label,cholesteryl octadecadienoate
CHEBI:132004,rdfs:label,cholesteryl octadecatrienoate
CHEBI:132006,rdfs:label,cholesteryl icosatetraenoate
CHEBI:132007,rdfs:label,cholesteryl icosapentaenoate
CHEBI:132030,rdfs:label,glycoursodeoxycholate
CHEBI:132034,rdfs:label,triacylglycerol 56:2
CHEBI:132733,rdfs:label,triacylglycerol 58:11
CHEBI:132917,rdfs:label,2-isopropylmalate
CHEBI:132934,rdfs:label,3-hydroxysebacate
CHEBI:132938,rdfs:label,ethylmalonate
CHEBI:132940,rdfs:label,"1,3,7-trimethylurate"
CHEBI:132948,rdfs:label,pyridoxate
CHEBI:132951,rdfs:label,maleate
CHEBI:132961,rdfs:label,methylsuccinate
CHEBI:133511,rdfs:label,3-hydroxyoctanoate
CHEBI:133513,rdfs:label,3-methylglutaconate anion
CHEBI:133514,rdfs:label,2-hydroxyoctanoate
CHEBI:133607,rdfs:label,m-hydroxyhippurate
CHEBI:133613,rdfs:label,p-hydroxyhippurate
CHEBI:133628,rdfs:label,undecanedioic acid anion
CHEBI:133725,rdfs:label,1-methylurate anion
CHEBI:133726,rdfs:label,"1,3-dimethylurate anion"
CHEBI:133727,rdfs:label,"1,7-dimethylurate anion"
CHEBI:133728,rdfs:label,"3,7-dimethylurate anion"
CHEBI:133738,rdfs:label,2-hydroxyhexanoate
CHEBI:133792,rdfs:label,erythronate
CHEBI:134112,rdfs:label,triacylglycerol 60:12
CHEBI:135752,rdfs:label,tafenoquine
CHEBI:1367,rdfs:label,"3,3',4,4'-tetrachlorobiphenyl"
CHEBI:13705,rdfs:label,acetoacetate
CHEBI:137552,rdfs:label,CE(16:1)
CHEBI:138331,rdfs:label,cholesteryl icosatrienoate
CHEBI:138346,rdfs:label,triacylglycerol 54:9
CHEBI:142420,rdfs:label,2-aminooctanoate
CHEBI:143615,rdfs:label,sphingomyelin 14:0
CHEBI:143616,rdfs:label,sphingomyelin 16:1
CHEBI:143617,rdfs:label,sphingomyelin 18:0
CHEBI:143618,rdfs:label,sphingomyelin 18:1
CHEBI:143619,rdfs:label,triacylglycerol 58:12
CHEBI:15075,rdfs:label,selenate
CHEBI:15193,rdfs:label,tartrate(2-)
CHEBI:15243,rdfs:label,threonate
CHEBI:15318,rdfs:label,xanthine
CHEBI:15343,rdfs:label,acetaldehyde
CHEBI:15347,rdfs:label,acetone
CHEBI:15354,rdfs:label,choline
CHEBI:15361,rdfs:label,pyruvate
CHEBI:15365,rdfs:label,acetylsalicylic acid
CHEBI:15366,rdfs:label,acetic acid
CHEBI:15367,rdfs:label,all-trans-retinoic acid
CHEBI:153671,rdfs:label,endothelin-1
CHEBI:15368,rdfs:label,acrolein
CHEBI:15372,rdfs:label,"5,6,7,8-tetrahydrobiopterin"
CHEBI:15377,rdfs:label,water
CHEBI:15379,rdfs:label,oxygen
CHEBI:15414,rdfs:label,S-adenosyl-L-methionine
CHEBI:15428,rdfs:label,glycine
CHEBI:15551,rdfs:label,prostaglandin E2
CHEBI:15560,rdfs:label,"(15Z)-12-oxophyto-10,15-dienoic acid"
CHEBI:15588,rdfs:label,(R)-malate(2-)
CHEBI:15589,rdfs:label,(S)-malate(2−)
CHEBI:15595,rdfs:label,malate(2-)
CHEBI:15598,rdfs:label,2-methylcitrate (3-)
CHEBI:15611,rdfs:label,sarcosine
CHEBI:15676,rdfs:label,allantoin
CHEBI:15682,rdfs:label,(N(omega)-L-arginino)succinic acid
CHEBI:15724,rdfs:label,trimethylamine N-oxide
CHEBI:15738,rdfs:label,staurosporine
CHEBI:15756,rdfs:label,Hexadecanoic acid
CHEBI:15767,rdfs:label,dichloromethane
CHEBI:15793,rdfs:label,3-hydroxyanthranilic acid
CHEBI:15843,rdfs:label,arachidonic acid
CHEBI:15866,rdfs:label,2-deoxy-D-glucose
CHEBI:15882,rdfs:label,phenol
CHEBI:15889,rdfs:label,sterol
CHEBI:15891,rdfs:label,taurine
CHEBI:15901,rdfs:label,"5,6-dihydrouracil"
CHEBI:15929,rdfs:label,methyl (-)-jasmonate
CHEBI:15930,rdfs:label,atrazine
CHEBI:15940,rdfs:label,nicotinic acid
CHEBI:15956,rdfs:label,biotin
CHEBI:15963,rdfs:label,ribitol
CHEBI:15978,rdfs:label,sn-glycerol 3-phosphate
CHEBI:16010,rdfs:label,5-oxoproline
CHEBI:16020,rdfs:label,1-methyladenosine
CHEBI:16027,rdfs:label,adenosine 5'-monophosphate
CHEBI:16038,rdfs:label,phosphatidylethanolamine
CHEBI:16113,rdfs:label,cholesterol
CHEBI:16150,rdfs:label,benzoate
CHEBI:16189,rdfs:label,sulfate
CHEBI:16196,rdfs:label,oleic acid
CHEBI:16199,rdfs:label,urea
CHEBI:16236,rdfs:label,ethanol
CHEBI:16240,rdfs:label,hydrogen peroxide
CHEBI:16243,rdfs:label,quercetin
CHEBI:16247,rdfs:label,phospholipid
CHEBI:16261,rdfs:label,chitosan
CHEBI:16330,rdfs:label,17beta-hydroxy-5alpha-androstan-3-one
CHEBI:16336,rdfs:label,hyaluronan
CHEBI:16345,rdfs:label,3-sulfino-L-alanine
CHEBI:16348,rdfs:label,3-nitropropionic acid
CHEBI:16359,rdfs:label,cholic acid
CHEBI:16383,rdfs:label,cis-aconitate(3-)
CHEBI:16393,rdfs:label,sphingosine
CHEBI:16411,rdfs:label,indole-3-acetic acid
CHEBI:16412,rdfs:label,lipopolysaccharide
CHEBI:16437,rdfs:label,N-acetyl-L-histidine
CHEBI:16449,rdfs:label,alanine
CHEBI:16454,rdfs:label,pantothenate
CHEBI:16467,rdfs:label,L-arginine
CHEBI:16469,rdfs:label,17beta-estradiol
CHEBI:16482,rdfs:label,naphthalene
CHEBI:16522,rdfs:label,trans-zeatin
CHEBI:16523,rdfs:label,D-serine
CHEBI:16526,rdfs:label,carbon dioxide
CHEBI:16552,rdfs:label,N-formyl-L-methionine
CHEBI:16566,rdfs:label,sphinganine
CHEBI:16587,rdfs:label,20-hydroxyecdysone
CHEBI:16602,rdfs:label,trichloroethylene
CHEBI:16605,rdfs:label,allyl alcohol
CHEBI:16610,rdfs:label,spermidine
CHEBI:16632,rdfs:label,vanillate
CHEBI:16646,rdfs:label,carbohydrate
CHEBI:16668,rdfs:label,hypotaurine
CHEBI:16675,rdfs:label,quinolinic acid
CHEBI:16680,rdfs:label,S-adenosyl-L-homocysteine
CHEBI:16682,rdfs:label,N-acetyl-beta-alanine
CHEBI:16688,rdfs:label,ecdysone
CHEBI:16704,rdfs:label,uridine
CHEBI:16708,rdfs:label,adenine
CHEBI:16716,rdfs:label,benzene
CHEBI:16731,rdfs:label,cinnamaldehyde
CHEBI:16734,rdfs:label,N-acetyl-D-tryptophan
CHEBI:16737,rdfs:label,creatinine
CHEBI:16738,rdfs:label,"2,4-dichlorophenol"
CHEBI:16742,rdfs:label,orotic acid
CHEBI:16763,rdfs:label,2-oxobutanoate
CHEBI:16794,rdfs:label,scopolamine
CHEBI:16797,rdfs:label,1-methylnicotinamide
CHEBI:16810,rdfs:label,2-oxoglutarate(2-)
CHEBI:16811,rdfs:label,methionine
CHEBI:16814,rdfs:label,dehydroepiandrosterone sulfate
CHEBI:16815,rdfs:label,enol-phenylpyruvate
CHEBI:16831,rdfs:label,3-hydroxy-3-methylglutaric acid
CHEBI:16842,rdfs:label,formaldehyde
CHEBI:16856,rdfs:label,glutathione
CHEBI:16865,rdfs:label,gamma-aminobutyric acid
CHEBI:16870,rdfs:label,choline alfoscerate
CHEBI:16893,rdfs:label,sphinganine-1-phosphate
CHEBI:16899,rdfs:label,D-mannitol
CHEBI:16914,rdfs:label,salicylic acid
CHEBI:16919,rdfs:label,creatine
CHEBI:16947,rdfs:label,citrate(3-)
CHEBI:16953,rdfs:label,N-acetyl-L-aspartate(2-)
CHEBI:16958,rdfs:label,beta-alanine
CHEBI:16962,rdfs:label,cortisone
CHEBI:16979,rdfs:label,"benzene-1,2,4-triol"
CHEBI:16990,rdfs:label,bilirubin
CHEBI:16991,rdfs:label,DNA
CHEBI:17002,rdfs:label,cholesterol ester
CHEBI:17026,rdfs:label,progesterone
CHEBI:17029,rdfs:label,chitin
CHEBI:17033,rdfs:label,biliverdin
CHEBI:17050,rdfs:label,3-phosphoglyceric acid
CHEBI:17084,rdfs:label,2-hydroxyglutaric acid
CHEBI:17089,rdfs:label,glycoprotein
CHEBI:17113,rdfs:label,erythritol
CHEBI:1712,rdfs:label,3alpha-hydroxy-5beta-pregnan-20-one
CHEBI:17120,rdfs:label,hexanoate
CHEBI:17126,rdfs:label,carnitine
CHEBI:17151,rdfs:label,xylitol
CHEBI:17154,rdfs:label,nicotinamide
CHEBI:17158,rdfs:label,methyl glyoxal
CHEBI:17160,rdfs:label,17alpha-estradiol
CHEBI:17202,rdfs:label,IMP
CHEBI:17203,rdfs:label,L-proline
CHEBI:17221,rdfs:label,myrcene
CHEBI:17230,rdfs:label,homocysteine
CHEBI:17234,rdfs:label,glucose
CHEBI:17243,rdfs:label,mono(2-ethylhexyl) phthalate
CHEBI:17245,rdfs:label,carbon monoxide
CHEBI:17252,rdfs:label,17alpha-hydroxyprogesterone
CHEBI:17268,rdfs:label,myo-inositol
CHEBI:17282,rdfs:label,3-(indol-3-yl)lactate
CHEBI:17287,rdfs:label,N-phosphocreatine
CHEBI:17303,rdfs:label,morphine
CHEBI:17306,rdfs:label,maltose
CHEBI:17325,rdfs:label,3-hydroxy-3-methylglutarate(2-)
CHEBI:17327,rdfs:label,phytol
CHEBI:17347,rdfs:label,testosterone
CHEBI:17351,rdfs:label,linoleic acid
CHEBI:17356,rdfs:label,2-acetylaminofluorene
CHEBI:17362,rdfs:label,quinoline
CHEBI:17368,rdfs:label,hypoxanthine
CHEBI:17376,rdfs:label,cystine
CHEBI:17388,rdfs:label,(S)-1-pyrroline-5-carboxylate
CHEBI:17394,rdfs:label,N(5)-ethyl-L-glutamine
CHEBI:17443,rdfs:label,L-homocitrulline
CHEBI:17445,rdfs:label,3-hydroxyphenylacetic acid
CHEBI:17489,rdfs:label,"3',5'-cyclic AMP"
CHEBI:17519,rdfs:label,N-methyl-L-alanine
CHEBI:17561,rdfs:label,L-cysteine
CHEBI:17568,rdfs:label,uracil
CHEBI:17596,rdfs:label,inosine
CHEBI:17632,rdfs:label,nitrate
CHEBI:17636,rdfs:label,sphingomyelin
CHEBI:17649,rdfs:label,hydroxymalonate(2-)
CHEBI:17650,rdfs:label,cortisol
CHEBI:17698,rdfs:label,chloramphenicol
CHEBI:17724,rdfs:label,"N,N-dimethylglycine"
CHEBI:17741,rdfs:label,"N,N-dimethylformamide"
CHEBI:17747,rdfs:label,diethylhexyl phthalate
CHEBI:17750,rdfs:label,glycine betaine
CHEBI:17752,rdfs:label,N(6)-acetyl-L-lysine
CHEBI:17754,rdfs:label,glycerol
CHEBI:17755,rdfs:label,cystathionine
CHEBI:17761,rdfs:label,ceramide
CHEBI:17768,rdfs:label,N-acetylputrescine
CHEBI:17771,rdfs:label,trans-urocanate
CHEBI:17774,rdfs:label,pimelate(1-)
CHEBI:17786,rdfs:label,N-acetyl-L-leucine
CHEBI:17790,rdfs:label,methanol
CHEBI:17802,rdfs:label,pseudouridine
CHEBI:17822,rdfs:label,serine
CHEBI:17823,rdfs:label,calcitriol
CHEBI:17833,rdfs:label,gentamicin
CHEBI:17855,rdfs:label,triglyceride
CHEBI:17859,rdfs:label,glutaric acid
CHEBI:17864,rdfs:label,taurolithocholic acid sulfate
CHEBI:17865,rdfs:label,4-methyl-2-oxopentanoate
CHEBI:17879,rdfs:label,4-hydroxybenzoate
CHEBI:17883,rdfs:label,hydrochloric acid
CHEBI:17925,rdfs:label,alpha-D-glucose
CHEBI:17929,rdfs:label,"N(omega),N(omega)-dimethyl-L-arginine"
CHEBI:17939,rdfs:label,puromycin
CHEBI:17968,rdfs:label,butyrate
CHEBI:17992,rdfs:label,sucrose
CHEBI:17996,rdfs:label,chloride
CHEBI:18005,rdfs:label,keto-phenylpyruvate
CHEBI:18035,rdfs:label,diglyceride
CHEBI:18050,rdfs:label,L-glutamine
CHEBI:18053,rdfs:label,1-aminocyclopropane-1-carboxylic acid
CHEBI:18058,rdfs:label,oxamic acid
CHEBI:18059,rdfs:label,lipid
CHEBI:18095,rdfs:label,trans-4-hydroxy-L-proline
CHEBI:18102,rdfs:label,O-octanoyl-L-carnitine
CHEBI:18123,rdfs:label,N-methylnicotinate
CHEBI:18145,rdfs:label,(+)-alpha-tocopherol
CHEBI:18153,rdfs:label,ethene
CHEBI:18154,rdfs:label,polysaccharide
CHEBI:18185,rdfs:label,gamma-tocopherol
CHEBI:18186,rdfs:label,tyrosine
CHEBI:18208,rdfs:label,benzylpenicillin
CHEBI:18211,rdfs:label,citrulline
CHEBI:18212,rdfs:label,selenite(2-)
CHEBI:18220,rdfs:label,isoflavone
CHEBI:18222,rdfs:label,xylose
CHEBI:18243,rdfs:label,dopamine
CHEBI:18248,rdfs:label,iron
CHEBI:18257,rdfs:label,ornithine
CHEBI:18258,rdfs:label,"3,3',5-triiodo-L-thyronine"
CHEBI:18261,rdfs:label,N-carbamoyl-beta-alanine
CHEBI:18262,rdfs:label,dodecanoate
CHEBI:18292,rdfs:label,jasmonic acid
CHEBI:18320,rdfs:label,"1,4-dithiothreitol"
CHEBI:18344,rdfs:label,kynurenic acid
CHEBI:18401,rdfs:label,phenylacetate
CHEBI:18406,rdfs:label,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
CHEBI:18422,rdfs:label,sulphur dioxide
CHEBI:185922,rdfs:label,5-fluorouridine
CHEBI:18723,rdfs:label,nicotine
CHEBI:19065,rdfs:label,1-methylinosine
CHEBI:19289,rdfs:label,"N(2),N(2)-dimethylguanosine"
CHEBI:1941,rdfs:label,4-(trimethylammonio)butanoic acid
CHEBI:19641,rdfs:label,2-hydroxyisobutyrate
CHEBI:20000,rdfs:label,3-dehydroteasterone
CHEBI:20067,rdfs:label,3-hydroxybutyric acid
CHEBI:20070,rdfs:label,3-hydroxyhexanoate
CHEBI:2038,rdfs:label,5-azacytidine
CHEBI:20710,rdfs:label,3-dehydro-6-deoxoteasterone
CHEBI:20712,rdfs:label,6-deoxocastasterone
CHEBI:20714,rdfs:label,6-deoxycathasterone
CHEBI:20717,rdfs:label,6-deoxotyphasterol
CHEBI:21264,rdfs:label,L-cysteine glutathione disulfide
CHEBI:21363,rdfs:label,methionine sulfone
CHEBI:21549,rdfs:label,N-acetyl-L-glutamate(1-)
CHEBI:21557,rdfs:label,N-acetyl-L-methionine
CHEBI:21565,rdfs:label,N-acetyl-L-valine
CHEBI:21626,rdfs:label,N-acetylphenylalanine
CHEBI:21759,rdfs:label,N-methyl-N'-nitro-N-nitrosoguanidine
CHEBI:22152,rdfs:label,abscisic acid
CHEBI:22210,rdfs:label,aconitate(3-)
CHEBI:22333,rdfs:label,alkylating agent role
CHEBI:22470,rdfs:label,alpha-tocopherol
CHEBI:22584,rdfs:label,antimycin A
CHEBI:22586,rdfs:label,antioxidant
CHEBI:22587,rdfs:label,antiviral
CHEBI:22595,rdfs:label,arabinonate
CHEBI:22605,rdfs:label,arabitol
CHEBI:22653,rdfs:label,asparagine
CHEBI:22660,rdfs:label,aspartic acid
CHEBI:22676,rdfs:label,auxin role
CHEBI:22707,rdfs:label,benzenetriols
CHEBI:22720,rdfs:label,benzodiazepine
CHEBI:2274,rdfs:label,7-methylguanine
CHEBI:22907,rdfs:label,bleomycin
CHEBI:22917,rdfs:label,phytogenic insecticide
CHEBI:22977,rdfs:label,cadmium
CHEBI:22978,rdfs:label,cadmium compounds
CHEBI:22984,rdfs:label,calcium
CHEBI:22986,rdfs:label,calcium ionophore
CHEBI:23051,rdfs:label,castasterone
CHEBI:23057,rdfs:label,cathasterone
CHEBI:23098,rdfs:label,chiro-inositol
CHEBI:23354,rdfs:label,coenzyme
CHEBI:23359,rdfs:label,colchicine
CHEBI:23366,rdfs:label,compatible osmolytes role
CHEBI:2341,rdfs:label,AACOCF3
CHEBI:23414,rdfs:label,copper(2+) sulfate
CHEBI:23527,rdfs:label,cytochalasin B
CHEBI:23530,rdfs:label,cytokinins
CHEBI:2360,rdfs:label,abacavir
