SourceTermID	SourceTerm	MappedTermLabel	MappedTermCURIE	MappedTermIRI	MappingScore	Tags	Ontology
L16_B	Albumin & Creatinine - Urine	urinary albumin to creatinine ratio	EFO:0007778	http://www.ebi.ac.uk/efo/EFO_0007778	0.838	None	EFO
L19_B	Measles, Rubella, & Varicella	chickenpox	EFO:0007204	http://www.ebi.ac.uk/efo/EFO_0007204	0.726	None	EFO
L25_2_B	Complete Blood Count with 5-part Differential - Whole Blood, Second Exam	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.707	None	EFO
L25_B	Complete Blood Count with 5-part Differential - Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
L28NPB_C	Non-dioxin-like Polychlorinated Biphenyls	polychlorinated biphenyls measurement	EFO:0007042	http://www.ebi.ac.uk/efo/EFO_0007042	0.74	None	EFO
L34_B	Bacterial vaginosis (BV) & Trichomonas vaginalis	bacterial vaginosis	EFO:0003932	http://www.ebi.ac.uk/efo/EFO_0003932	0.757	None	EFO
L34_B_R	Bacterial vaginosis (BV) & Trichomonas vaginalis - Youth	bacterial vaginosis	EFO:0003932	http://www.ebi.ac.uk/efo/EFO_0003932	0.739	None	EFO
L34_C	Bacterial vaginosis (BV) & Trichomonas vaginalis	bacterial vaginosis	EFO:0003932	http://www.ebi.ac.uk/efo/EFO_0003932	0.757	None	EFO
L34_C_R	Bacterial vaginosis (BV) & Trichomonas vaginalis - Youth	bacterial vaginosis	EFO:0003932	http://www.ebi.ac.uk/efo/EFO_0003932	0.739	None	EFO
L35_B	Methicillin - Resistant Staphylococcus aureus (MRSA)	Methicillin-Resistant Staphylococcus Aureus Infection	EFO:0008555	http://www.ebi.ac.uk/efo/EFO_0008555	0.826	None	EFO
L39_2_B	Erythrocyte Protoporphyrin	erythropoietic protoporphyria	MONDO:0001676	http://purl.obolibrary.org/obo/MONDO_0001676	0.74	None	EFO
L40FE_B	Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation	total iron binding capacity	EFO:0006334	http://www.ebi.ac.uk/efo/EFO_0006334	0.727	None	EFO
L40T4_B	Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)	thyroid stimulating hormone measurement	EFO:0004748	http://www.ebi.ac.uk/efo/EFO_0004748	0.73	None	EFO
L43_C	Vitamin B6	vitamin B6 measurement	EFO:0004621	http://www.ebi.ac.uk/efo/EFO_0004621	0.865	None	EFO
LAB05	Chlamydia & Gonorrhea - Urine	gonorrhea	DOID:7551	http://purl.obolibrary.org/obo/DOID_7551	0.725	None	EFO
LAB10	Glycohemoglobin	HbA1c measurement	EFO:0004541	http://www.ebi.ac.uk/efo/EFO_0004541	0.732	None	EFO
LAB10AM	Plasma Fasting Glucose, Serum C-peptide & Insulin	fasting blood glucose measurement	EFO:0004465	http://www.ebi.ac.uk/efo/EFO_0004465	0.708	None	EFO
LAB13	Cholesterol - Total & HDL	total cholesterol in IDL	EFO:0022184	http://www.ebi.ac.uk/efo/EFO_0022184	0.766	None	EFO
LAB13AM	Cholesterol - LDL & Triglycerides	triglycerides in LDL measurement 	EFO:0022320	http://www.ebi.ac.uk/efo/EFO_0022320	0.738	None	EFO
LAB16	Albumin & Creatinine - Urine	urinary albumin to creatinine ratio	EFO:0007778	http://www.ebi.ac.uk/efo/EFO_0007778	0.838	None	EFO
LAB18T4	Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)	thyroid stimulating hormone measurement	EFO:0004748	http://www.ebi.ac.uk/efo/EFO_0004748	0.73	None	EFO
LAB19	Measles, Rubella, & Varicella	chickenpox	EFO:0007204	http://www.ebi.ac.uk/efo/EFO_0007204	0.726	None	EFO
LAB25	Complete Blood Count with 5-part Differential - Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
LEXAB_B	Lower Extremity Disease - Ankle Brachial Blood Pressure Index	ankle brachial index	EFO:0003912	http://www.ebi.ac.uk/efo/EFO_0003912	0.704	None	EFO
MCQ	Medical Conditions	disease	EFO:0000408	http://www.ebi.ac.uk/efo/EFO_0000408	0.911	None	EFO
MMA_G	Methylmalonic Acid	Methylmalonic acid measurement	EFO:0021651	http://www.ebi.ac.uk/efo/EFO_0021651	0.88	None	EFO
MSX	Muscle Strength	foot muscle strength measurement	EFO:0009699	http://www.ebi.ac.uk/efo/EFO_0009699	0.78	None	EFO
OCQ	Occupation	occupational disorder	MONDO:0100366	http://purl.obolibrary.org/obo/MONDO_0100366	0.808	None	EFO
OGTT_D	Oral Glucose Tolerance Test	glucose tolerance test	EFO:0004307	http://www.ebi.ac.uk/efo/EFO_0004307	0.932	None	EFO
OHXPER_F	Oral Health - Periodontal	periodontal disorder	MONDO:0002635	http://purl.obolibrary.org/obo/MONDO_0002635	0.743	None	EFO
OSQ	Osteoporosis	osteoporosis	EFO:0003882	http://www.ebi.ac.uk/efo/EFO_0003882	0.983	None	EFO
P_ALB_CR	Albumin & Creatinine - Urine	urinary albumin to creatinine ratio	EFO:0007778	http://www.ebi.ac.uk/efo/EFO_0007778	0.838	None	EFO
P_ALQ	Alcohol Use	alcohol use disorder measurement	EFO:0009458	http://www.ebi.ac.uk/efo/EFO_0009458	0.792	None	EFO
P_AUQ	Audiometry	pure tone hearing measurement	EFO:0007617	http://www.ebi.ac.uk/efo/EFO_0007617	0.774	None	EFO
P_BMX	Body Measures	body weights and measures	EFO:0004324	http://www.ebi.ac.uk/efo/EFO_0004324	0.93	None	EFO
P_BPQ	Blood Pressure & Cholesterol	blood pressure	EFO:0004325	http://www.ebi.ac.uk/efo/EFO_0004325	0.72	None	EFO
P_CBC	Complete Blood Count with 5-Part Differential in Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
P_CDQ	Cardiovascular Health	cardiovascular disease	EFO:0000319	http://www.ebi.ac.uk/efo/EFO_0000319	0.827	None	EFO
P_COT	Cotinine and Hydroxycotinine - Serum	hydroxycotinine measurement	EFO:0800964	http://www.ebi.ac.uk/efo/EFO_0800964	0.804	None	EFO
P_DIQ	Diabetes	diabetes mellitus	EFO:0000400	http://www.ebi.ac.uk/efo/EFO_0000400	0.991	None	EFO
P_DUQ_R	Drug Use	drug dependence	EFO:0003890	http://www.ebi.ac.uk/efo/EFO_0003890	0.944	None	EFO
P_DUQY_R	Drug Use - Youth	drug dependence	EFO:0003890	http://www.ebi.ac.uk/efo/EFO_0003890	0.796	None	EFO
P_ECQ	Early Childhood	Global developmental delay	HP:0001263	http://purl.obolibrary.org/obo/HP_0001263	0.701	None	EFO
P_FERTIN	Ferritin	ferritin measurement	EFO:0004459	http://www.ebi.ac.uk/efo/EFO_0004459	0.819	None	EFO
P_FOLATE	Folate - RBC	red blood cell folate measurement	EFO:0009703	http://www.ebi.ac.uk/efo/EFO_0009703	0.987	None	EFO
P_GHB	Glycohemoglobin	HbA1c measurement	EFO:0004541	http://www.ebi.ac.uk/efo/EFO_0004541	0.732	None	EFO
P_GLU	Plasma Fasting Glucose	fasting blood glucose measurement	EFO:0004465	http://www.ebi.ac.uk/efo/EFO_0004465	0.982	None	EFO
P_HDL	Cholesterol - High - Density Lipoprotein (HDL)	high density lipoprotein cholesterol measurement	EFO:0004612	http://www.ebi.ac.uk/efo/EFO_0004612	0.876	None	EFO
P_HEPA	Hepatitis A	hepatitis A virus infection	EFO:0007305	http://www.ebi.ac.uk/efo/EFO_0007305	0.989	None	EFO
P_HEQ	Hepatitis	Hepatitis	HP:0012115	http://purl.obolibrary.org/obo/HP_0012115	0.987	None	EFO
P_IMQ	Immunization	vaccination	EFO:0004292	http://www.ebi.ac.uk/efo/EFO_0004292	0.87	None	EFO
P_INS	Insulin	insulinoma	EFO:0000549	http://www.ebi.ac.uk/efo/EFO_0000549	0.835	None	EFO
P_MCQ	Medical Conditions	disease	EFO:0000408	http://www.ebi.ac.uk/efo/EFO_0000408	0.911	None	EFO
P_OCQ	Occupation	occupational disorder	MONDO:0100366	http://purl.obolibrary.org/obo/MONDO_0100366	0.808	None	EFO
P_OSQ	Osteoporosis	osteoporosis	EFO:0003882	http://www.ebi.ac.uk/efo/EFO_0003882	0.983	None	EFO
P_PAQ	Physical Activity	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.992	None	EFO
P_PAQY	Physical Activity - Youth	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.891	None	EFO
P_PBY_R	Lead - Blood - Youth	blood lead measurement	EFO:0007040	http://www.ebi.ac.uk/efo/EFO_0007040	0.736	None	EFO
P_RHQ	Reproductive Health	reproductive system disease	EFO:0000512	http://www.ebi.ac.uk/efo/EFO_0000512	0.793	None	EFO
P_SLQ	Sleep Disorders	Sleep Disorder	EFO:0008568	http://www.ebi.ac.uk/efo/EFO_0008568	0.978	None	EFO
P_SMQ	Smoking - Cigarette Use	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.946	None	EFO
P_SMQRTU	Smoking - Recent Tobacco Use	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.816	None	EFO
P_SXQ_R	Sexual Behavior - Adult	sexual behavior	EFO:0010141	http://www.ebi.ac.uk/efo/EFO_0010141	0.807	None	EFO
P_SXQY_R	Sexual Behavior - Youth	sexual behavior	EFO:0010141	http://www.ebi.ac.uk/efo/EFO_0010141	0.89	None	EFO
P_TCHOL	Cholesterol - Total	total cholesterol measurement	EFO:0004574	http://www.ebi.ac.uk/efo/EFO_0004574	0.871	None	EFO
P_TFR	Transferrin Receptor	transferrin receptor protein 1 measurement	EFO:0802142	http://www.ebi.ac.uk/efo/EFO_0802142	0.804	None	EFO
P_TRIC_R	Trichomonas - Urine - Youth	Trichomonas vaginitis	EFO:0007521	http://www.ebi.ac.uk/efo/EFO_0007521	0.701	None	EFO
P_TRIGLY	Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides	low density lipoprotein triglyceride measurement	EFO:0009946	http://www.ebi.ac.uk/efo/EFO_0009946	0.766	None	EFO
P_UCFLOW	Urine Flow Rate	unit of flow rate	EFO:0004418	http://www.ebi.ac.uk/efo/EFO_0004418	0.729	None	EFO
P_UCPREG	Urine Pregnancy Test	pregnancy test	EFO:0009643	http://www.ebi.ac.uk/efo/EFO_0009643	0.912	None	EFO
PAQ	Physical Activity	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.992	None	EFO
PAQIAF	Physical Activity - Individual Activities	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.831	None	EFO
PAQY_J	Physical Activity - Youth	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.891	None	EFO
PAXD_G_R	Physical Activity Monitor - Day	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.754	None	EFO
PAXH_G_R	Physical Activity Monitor - Hour	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.728	None	EFO
PAXRAW_C	Physical Activity Monitor	physical activity	EFO:0003940	http://www.ebi.ac.uk/efo/EFO_0003940	0.791	None	EFO
PBY_J_R	Lead - Blood - Youth	blood lead measurement	EFO:0007040	http://www.ebi.ac.uk/efo/EFO_0007040	0.736	None	EFO
PCBPOL_D	Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples	polychlorinated biphenyls measurement	EFO:0007042	http://www.ebi.ac.uk/efo/EFO_0007042	0.766	None	EFO
PCBPOL_H	Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Serum - Pooled Samples	polychlorinated biphenyls measurement	EFO:0007042	http://www.ebi.ac.uk/efo/EFO_0007042	0.759	None	EFO
PCBPOL_I	Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples	polychlorinated biphenyls measurement	EFO:0007042	http://www.ebi.ac.uk/efo/EFO_0007042	0.766	None	EFO
PSA_D	Prostate Specific Antigen (PSA)	prostate specific antigen measurement	EFO:0004624	http://www.ebi.ac.uk/efo/EFO_0004624	0.806	None	EFO
PSQ_C	Prostate Specific Antigen Follow-up	prostate specific antigen measurement	EFO:0004624	http://www.ebi.ac.uk/efo/EFO_0004624	0.763	None	EFO
PTH_D	Parathyroid Hormone	parathyroid hormone measurement	EFO:0004752	http://www.ebi.ac.uk/efo/EFO_0004752	0.876	None	EFO
RDQ	Respiratory Health	respiratory system disease	EFO:0000684	http://www.ebi.ac.uk/efo/EFO_0000684	0.792	None	EFO
RHQ	Reproductive Health	reproductive system disease	EFO:0000512	http://www.ebi.ac.uk/efo/EFO_0000512	0.793	None	EFO
SLQ_D	Sleep Disorders	Sleep Disorder	EFO:0008568	http://www.ebi.ac.uk/efo/EFO_0008568	0.978	None	EFO
SMQ	Smoking - Cigarette/Tobacco Use - Adult	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.717	None	EFO
SMQ_D	Smoking - Cigarette Use	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.946	None	EFO
SMQMEC	Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.711	None	EFO
SMQRTU_D	Smoking - Recent Tobacco Use	nicotine dependence	EFO:0003768	http://www.ebi.ac.uk/efo/EFO_0003768	0.816	None	EFO
SSCYST_B	Cystatin C (Surplus)	cystatin B measurement	EFO:0010593	http://www.ebi.ac.uk/efo/EFO_0010593	0.703	None	EFO
SSFA_B_R	Folate - Folic acid & 5-methyltetrahydrofolate - Serum (Surplus)	5-MTHF measurement	EFO:0801105	http://www.ebi.ac.uk/efo/EFO_0801105	0.713	None	EFO
SSH7N9_R	Avian Influenza A (H7N9) & Seasonal Influenza Viruses Antibodies (Surplus)	avian influenza	EFO:0005222	http://www.ebi.ac.uk/efo/EFO_0005222	0.759	None	EFO
SSOL_A	Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)	benign monoclonal gammopathy	EFO:1000836	http://www.ebi.ac.uk/efo/EFO_1000836	0.903	None	EFO
SSSNFL_H	Serum Neurofilament Light Chain - Serum	neurofilament light chain measurement	EFO:0009178	http://www.ebi.ac.uk/efo/EFO_0009178	0.758	None	EFO
SSUECD_R	Electrolytes - Urine	Abnormal blood ion concentration	HP:0003111	http://purl.obolibrary.org/obo/HP_0003111	0.734	None	EFO
SSUSG_E	Urine Specific Gravity Measurement (Surplus)	urine specific gravity measurement	EFO:0010135	http://www.ebi.ac.uk/efo/EFO_0010135	0.897	None	EFO
SXQ	Sexual Behavior	sexual behavior	EFO:0010141	http://www.ebi.ac.uk/efo/EFO_0010141	0.989	None	EFO
SXQ_J_R	Sexual Behavior - Adult	sexual behavior	EFO:0010141	http://www.ebi.ac.uk/efo/EFO_0010141	0.807	None	EFO
SXQY_F_R	Sexual Behavior - Youth	sexual behavior	EFO:0010141	http://www.ebi.ac.uk/efo/EFO_0010141	0.89	None	EFO
TB	Tuberculosis	tuberculosis	MONDO:0018076	http://purl.obolibrary.org/obo/MONDO_0018076	0.977	None	EFO
TCHOL_D	Cholesterol - Total	total cholesterol measurement	EFO:0004574	http://www.ebi.ac.uk/efo/EFO_0004574	0.871	None	EFO
TFA_A	Trans Fatty Acids	trans fatty acid measurement	EFO:0006821	http://www.ebi.ac.uk/efo/EFO_0006821	0.798	None	EFO
TFR_D	Transferrin Receptor	transferrin receptor protein 1 measurement	EFO:0802142	http://www.ebi.ac.uk/efo/EFO_0802142	0.804	None	EFO
TRIC_H_R	Trichomonas - Urine -Youth	Trichomonas vaginitis	EFO:0007521	http://www.ebi.ac.uk/efo/EFO_0007521	0.701	None	EFO
TRIC_I_R	Trichomonas - Urine - Youth	Trichomonas vaginitis	EFO:0007521	http://www.ebi.ac.uk/efo/EFO_0007521	0.701	None	EFO
TRICH_H	Trichomonas - Urine	Trichomonas vaginitis	EFO:0007521	http://www.ebi.ac.uk/efo/EFO_0007521	0.766	None	EFO
TRIGLY_E	Cholesterol - LDL & Triglycerides	triglycerides in LDL measurement 	EFO:0022320	http://www.ebi.ac.uk/efo/EFO_0022320	0.738	None	EFO
TRIGLY_I	Cholesterol - Low - Density Lipoprotein (LDL) & Triglycerides	low density lipoprotein triglyceride measurement	EFO:0009946	http://www.ebi.ac.uk/efo/EFO_0009946	0.787	None	EFO
TRIGLY_J	Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides	low density lipoprotein triglyceride measurement	EFO:0009946	http://www.ebi.ac.uk/efo/EFO_0009946	0.766	None	EFO
TST_G	Total Testosterone	testosterone measurement	EFO:0004908	http://www.ebi.ac.uk/efo/EFO_0004908	0.73	None	EFO
UC	Pregnancy Test - Urine	pregnancy test	EFO:0009643	http://www.ebi.ac.uk/efo/EFO_0009643	0.912	None	EFO
UCFLOW_F	Urine Flow Rate	unit of flow rate	EFO:0004418	http://www.ebi.ac.uk/efo/EFO_0004418	0.729	None	EFO
UCPREG_D	Pregnancy Test - Urine	pregnancy test	EFO:0009643	http://www.ebi.ac.uk/efo/EFO_0009643	0.912	None	EFO
UCPREG_J	Urine Pregnancy Test	pregnancy test	EFO:0009643	http://www.ebi.ac.uk/efo/EFO_0009643	0.912	None	EFO
VIC_D	Vitamin C	vitamin C measurement	EFO:0600003	http://www.ebi.ac.uk/efo/EFO_0600003	0.804	None	EFO
VID_B	Vitamin D	vitamin D deficiency	EFO:0003762	http://www.ebi.ac.uk/efo/EFO_0003762	0.861	None	EFO
VIQ	Vision	vision disorder	MONDO:0021084	http://purl.obolibrary.org/obo/MONDO_0021084	0.792	None	EFO
