Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermCURIE	MappedTermIRI	MappingScore	Ontology
ACD040	ACQ_D	ACD040-ACQ_D	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD040	ACQ_E	ACD040-ACQ_E	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD040	ACQ_F	ACD040-ACQ_F	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD070	ACQ	ACD070-ACQ	Father's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.829	NCIT
ACD070	ACQ_B	ACD070-ACQ_B	Father's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.829	NCIT
ACD070	ACQ_C	ACD070-ACQ_C	Father's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.829	NCIT
ACD080	ACQ	ACD080-ACQ	Mother's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.831	NCIT
ACD080	ACQ_B	ACD080-ACQ_B	Mother's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.831	NCIT
ACD080	ACQ_C	ACD080-ACQ_C	Mother's country of birth	Birth Country	NCIT:C200441	http://purl.obolibrary.org/obo/NCIT_C200441	0.831	NCIT
ACD110	ACQ_G	ACD110-ACQ_G	Language(s) spoken at home - Asians	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.757	NCIT
ACD110	P_ACQ	ACD110-P_ACQ	Language(s) spoken at home - Asians	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.757	NCIT
ACQ020	ACQ	ACQ020-ACQ	Language(s) read and spoken	Spoken Language	NCIT:C51277	http://purl.obolibrary.org/obo/NCIT_C51277	0.914	NCIT
ACQ020	ACQ_B	ACQ020-ACQ_B	Language(s) read and spoken	Spoken Language	NCIT:C51277	http://purl.obolibrary.org/obo/NCIT_C51277	0.914	NCIT
ACQ020	ACQ_C	ACQ020-ACQ_C	Language(s) read and spoken	Spoken Language	NCIT:C51277	http://purl.obolibrary.org/obo/NCIT_C51277	0.914	NCIT
AGD020	AGQ_D	AGD020-AGQ_D	hay fever	Seasonal Allergic Rhinitis	NCIT:C92188	http://purl.obolibrary.org/obo/NCIT_C92188	0.994	NCIT
AGD050	AGQ_D	AGD050-AGQ_D	allergies	Allergic Reaction	NCIT:C114476	http://purl.obolibrary.org/obo/NCIT_C114476	0.981	NCIT
AGQ040	AGQ_D	AGQ040-AGQ_D	Doctor told have allergies	Have Allergy	NCIT:C113411	http://purl.obolibrary.org/obo/NCIT_C113411	0.788	NCIT
AGQ070	AGQ_D	AGQ070-AGQ_D	Removed animal from home due to allergy	Animal Allergy	NCIT:C172303	http://purl.obolibrary.org/obo/NCIT_C172303	0.723	NCIT
AGQ180	AGQ_D	AGQ180-AGQ_D	Doctor told have eczema	atopic eczema	EFO:0000274	http://www.ebi.ac.uk/efo/EFO_0000274	0.729	EFO
ALD040	ALQY_F	ALD040-ALQY_F	# days w/5 or more drinks/past 30 days	Past 30 days	NCIT:C131330	http://purl.obolibrary.org/obo/NCIT_C131330	0.75	NCIT
ALD040	P_ALQY_R	ALD040-P_ALQY_R	How many days 4/5 drinks of alcohol	AUDIT - How Many Alcohol Drinks on a Typical Day	NCIT:C119109	http://purl.obolibrary.org/obo/NCIT_C119109	0.727	NCIT
ALD100	ALQ_B	ALD100-ALQ_B	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALD260	DBQ	ALD260-DBQ	drink hard liquor (per month)	alcoholic beverage (distilled)	FOODON:00001817	http://purl.obolibrary.org/obo/FOODON_00001817	0.75	FOODON
ALQ100	ALQ	ALQ100-ALQ	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_C	ALQ101-ALQ_C	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_D	ALQ101-ALQ_D	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_E	ALQ101-ALQ_E	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_F	ALQ101-ALQ_F	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_G	ALQ101-ALQ_G	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_H	ALQ101-ALQ_H	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ101	ALQ_I	ALQ101-ALQ_I	at least 12 alcohol drinks/1 yr	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.736	NCIT
ALQ121	ALQ_J	ALQ121-ALQ_J	Past 12 mo how often have alcohol drink	How Often Have Alcoholic Drink	NCIT:C188000	http://purl.obolibrary.org/obo/NCIT_C188000	0.841	NCIT
ALQ121	P_ALQ	ALQ121-P_ALQ	Past 12 mo how often drink alcoholic bev	How Often Have Alcoholic Drink	NCIT:C188000	http://purl.obolibrary.org/obo/NCIT_C188000	0.747	NCIT
ALQ130	ALQ_J	ALQ130-ALQ_J	Avg # alcohol drinks/day - past 12 mos	Average Number of Alcoholic Drinks per Day	NCIT:C181709	http://purl.obolibrary.org/obo/NCIT_C181709	0.705	NCIT
ALQ140U	ALQ	ALQ140U-ALQ	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ140U	ALQ_B	ALQ140U-ALQ_B	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ140U	ALQ_C	ALQ140U-ALQ_C	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ140U	ALQ_D	ALQ140U-ALQ_D	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ140U	ALQ_E	ALQ140U-ALQ_E	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ140U	ALQ_F	ALQ140U-ALQ_F	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ141U	ALQ_G	ALQ141U-ALQ_G	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ141U	ALQ_H	ALQ141U-ALQ_H	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ALQ141U	ALQ_I	ALQ141U-ALQ_I	# days per week month year	Days Per Week	NCIT:C170633	http://purl.obolibrary.org/obo/NCIT_C170633	0.767	NCIT
ARD118AO	ARQ_F	ARD118AO-ARQ_F	All other causes	Etiology	NCIT:C16390	http://purl.obolibrary.org/obo/NCIT_C16390	0.755	NCIT
ARD118BO	ARQ_F	ARD118BO-ARQ_F	All other causes	Etiology	NCIT:C16390	http://purl.obolibrary.org/obo/NCIT_C16390	0.755	NCIT
ARD125A	ARQ_F	ARD125A-ARQ_F	Ever told you had Iritis/Uveitis	Uveitis, CTCAE	NCIT:C55901	http://purl.obolibrary.org/obo/NCIT_C55901	0.731	NCIT
ARD130A	ARQ_F	ARD130A-ARQ_F	Iritis/Uveitis eye	Uveitis, CTCAE	NCIT:C55901	http://purl.obolibrary.org/obo/NCIT_C55901	0.814	NCIT
ARDEXSTS	ARX_F	ARDEXSTS-ARX_F	Arthritis body measures	body weights and measures	EFO:0004324	http://www.ebi.ac.uk/efo/EFO_0004324	0.701	EFO
ARICCEX	ARX_F	ARICCEX-ARX_F	Chest circumference exhalation	Chest Circumference	NCIT:C156606	http://purl.obolibrary.org/obo/NCIT_C156606	0.788	NCIT
ARICCIN	ARX_F	ARICCIN-ARX_F	Chest circumference inspiration	Chest Circumference	NCIT:C156606	http://purl.obolibrary.org/obo/NCIT_C156606	0.768	NCIT
ARQ020A	ARQ_F	ARQ020A-ARQ_F	Neck Pain	Neck Pain, CTCAE 5.0	NCIT:C146766	http://purl.obolibrary.org/obo/NCIT_C146766	0.982	NCIT
ARQ020B	ARQ_F	ARQ020B-ARQ_F	Upper Back Pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.778	NCIT
ARQ020C	ARQ_F	ARQ020C-ARQ_F	Mid Back Pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.867	NCIT
ARQ020D	ARQ_F	ARQ020D-ARQ_F	Low Back Pain	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.99	EFO
ARQ020E	ARQ_F	ARQ020E-ARQ_F	Buttocks Pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.872	NCIT
ARQ020F	ARQ_F	ARQ020F-ARQ_F	Hip Pain	Hip pain	HP:0030838	http://purl.obolibrary.org/obo/HP_0030838	0.997	EFO
ARQ021AA	ARQ_F	ARQ021AA-ARQ_F	Neck Pain	Neck Pain, CTCAE 5.0	NCIT:C146766	http://purl.obolibrary.org/obo/NCIT_C146766	0.982	NCIT
ARQ021AB	ARQ_F	ARQ021AB-ARQ_F	Upper Back Pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.778	NCIT
ARQ021AC	ARQ_F	ARQ021AC-ARQ_F	Mid Back Pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.867	NCIT
ARQ021AD	ARQ_F	ARQ021AD-ARQ_F	Low Back Pain	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.99	EFO
ARQ021AE	ARQ_F	ARQ021AE-ARQ_F	Buttocks Pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.872	NCIT
ARQ021AF	ARQ_F	ARQ021AF-ARQ_F	Hip Pain	Hip pain	HP:0030838	http://purl.obolibrary.org/obo/HP_0030838	0.997	EFO
ARQ021BA	ARQ_F	ARQ021BA-ARQ_F	Neck Aching	Radiating Chest Pain in Neck	NCIT:C167485	http://purl.obolibrary.org/obo/NCIT_C167485	0.718	NCIT
ARQ021BE	ARQ_F	ARQ021BE-ARQ_F	Buttocks Aching	Buttock	NCIT:C89806	http://purl.obolibrary.org/obo/NCIT_C89806	0.731	NCIT
ARQ021CA	ARQ_F	ARQ021CA-ARQ_F	Neck Stiffness	Stiff neck	HP:0025258	http://purl.obolibrary.org/obo/HP_0025258	0.984	EFO
ARQ021CA	ARQ_F	ARQ021CA-ARQ_F	Neck Stiffness	Neck Stiffness	NCIT:C50664	http://purl.obolibrary.org/obo/NCIT_C50664	0.984	NCIT
ARQ021CC	ARQ_F	ARQ021CC-ARQ_F	Mid Back Stiffness	Neck Stiffness	NCIT:C50664	http://purl.obolibrary.org/obo/NCIT_C50664	0.741	NCIT
ARQ021CD	ARQ_F	ARQ021CD-ARQ_F	Low Back Stiffness	Neck Stiffness	NCIT:C50664	http://purl.obolibrary.org/obo/NCIT_C50664	0.739	NCIT
ARQ021CF	ARQ_F	ARQ021CF-ARQ_F	Hip Stiffness	Liver Stiffness	NCIT:C138328	http://purl.obolibrary.org/obo/NCIT_C138328	0.764	NCIT
ARQ022A	ARQ_F	ARQ022A-ARQ_F	neck pain started (yrs.)	Neck pain	HP:0030833	http://purl.obolibrary.org/obo/HP_0030833	0.738	EFO
ARQ022AA	ARQ_F	ARQ022AA-ARQ_F	neck pain	Neck Pain, CTCAE 5.0	NCIT:C146766	http://purl.obolibrary.org/obo/NCIT_C146766	0.982	NCIT
ARQ022AB	ARQ_F	ARQ022AB-ARQ_F	upper back pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.778	NCIT
ARQ022AC	ARQ_F	ARQ022AC-ARQ_F	mid back pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.867	NCIT
ARQ022AD	ARQ_F	ARQ022AD-ARQ_F	low back pain	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.99	EFO
ARQ022AE	ARQ_F	ARQ022AE-ARQ_F	buttocks pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.872	NCIT
ARQ022AF	ARQ_F	ARQ022AF-ARQ_F	hip pain	Hip pain	HP:0030838	http://purl.obolibrary.org/obo/HP_0030838	0.997	EFO
ARQ022D	ARQ_F	ARQ022D-ARQ_F	low back pain started (yrs.)	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.776	EFO
ARQ022F	ARQ_F	ARQ022F-ARQ_F	hip pain started (yrs.)	Hip pain	HP:0030838	http://purl.obolibrary.org/obo/HP_0030838	0.722	EFO
ARQ023GE	ARQ_F	ARQ023GE-ARQ_F	buttock pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.997	NCIT
ARQ023QA	ARQ_F	ARQ023QA-ARQ_F	Age last had neck pain (yrs.)	Neck pain	HP:0030833	http://purl.obolibrary.org/obo/HP_0030833	0.705	EFO
ARQ023QD	ARQ_F	ARQ023QD-ARQ_F	Age last had low back pain (yrs.)	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.744	EFO
ARQ023QE	ARQ_F	ARQ023QE-ARQ_F	Age last had buttock pain (yrs.)	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.753	NCIT
ARQ024A	ARQ_F	ARQ024A-ARQ_F	neck pain	Neck pain	HP:0030833	http://purl.obolibrary.org/obo/HP_0030833	0.977	EFO
ARQ024D	ARQ_F	ARQ024D-ARQ_F	low back pain	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.99	EFO
ARQ024E	ARQ_F	ARQ024E-ARQ_F	buttocks pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.872	NCIT
ARQ025A	ARQ_F	ARQ025A-ARQ_F	Neck pain	Neck Pain, CTCAE 5.0	NCIT:C146766	http://purl.obolibrary.org/obo/NCIT_C146766	0.982	NCIT
ARQ025B	ARQ_F	ARQ025B-ARQ_F	Upper back pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.778	NCIT
ARQ025C	ARQ_F	ARQ025C-ARQ_F	Mid back pain	Back Pain, CTCAE 3.0	NCIT:C56010	http://purl.obolibrary.org/obo/NCIT_C56010	0.867	NCIT
ARQ025D	ARQ_F	ARQ025D-ARQ_F	Low back pain	Low back pain	HP:0003419	http://purl.obolibrary.org/obo/HP_0003419	0.99	EFO
ARQ025E	ARQ_F	ARQ025E-ARQ_F	Buttocks pain	Buttock Pain	NCIT:C78228	http://purl.obolibrary.org/obo/NCIT_C78228	0.872	NCIT
ARQ025F	ARQ_F	ARQ025F-ARQ_F	Hip pain	Hip pain	HP:0030838	http://purl.obolibrary.org/obo/HP_0030838	0.997	EFO
ARQ030A	ARQ_F	ARQ030A-ARQ_F	Taken ibuprofen for pain	Ibuprofen	NCIT:C561	http://purl.obolibrary.org/obo/NCIT_C561	0.854	NCIT
ARQ030C	ARQ_F	ARQ030C-ARQ_F	Taken indomethacin for pain	Indomethacin	NCIT:C576	http://purl.obolibrary.org/obo/NCIT_C576	0.796	NCIT
ARQ030D	ARQ_F	ARQ030D-ARQ_F	Taken Cox-2 inhibitor for pain	Cyclooxygenase Inhibitor	NCIT:C1323	http://purl.obolibrary.org/obo/NCIT_C1323	0.857	NCIT
ARQ030E	ARQ_F	ARQ030E-ARQ_F	Taken aspirin for pain	Aspirin Given for Rheumatic Fever	NCIT:C168119	http://purl.obolibrary.org/obo/NCIT_C168119	0.759	NCIT
ARQ034A	ARQ_F	ARQ034A-ARQ_F	Ibuprofen helped pain	Ibuprofen	NCIT:C561	http://purl.obolibrary.org/obo/NCIT_C561	0.793	NCIT
ARQ034C	ARQ_F	ARQ034C-ARQ_F	Indomethacin helped pain	Indomethacin	NCIT:C576	http://purl.obolibrary.org/obo/NCIT_C576	0.741	NCIT
ARQ034D	ARQ_F	ARQ034D-ARQ_F	Cox-2 inhibitor helped pain	Cyclooxygenase Inhibitor	NCIT:C1323	http://purl.obolibrary.org/obo/NCIT_C1323	0.816	NCIT
ARQ080	ARQ_F	ARQ080-ARQ_F	Pain response to exercise	response to exercise	EFO:0007768	http://www.ebi.ac.uk/efo/EFO_0007768	0.914	EFO
ARQ118AA	ARQ_F	ARQ118AA-ARQ_F	Heel Spurs	Plantar Fasciitis	EFO:1001909	http://www.ebi.ac.uk/efo/EFO_1001909	0.872	EFO
ARQ118AB	ARQ_F	ARQ118AB-ARQ_F	Plantar Fasciitis	Plantar Fasciitis	EFO:1001909	http://www.ebi.ac.uk/efo/EFO_1001909	0.98	EFO
ARQ118AC	ARQ_F	ARQ118AC-ARQ_F	Achilles tendonitis	Achilles Tendon	NCIT:C32043	http://purl.obolibrary.org/obo/NCIT_C32043	0.83	NCIT
ARQ118AD	ARQ_F	ARQ118AD-ARQ_F	Other tendonitis	Tendonitis	NCIT:C97141	http://purl.obolibrary.org/obo/NCIT_C97141	0.994	NCIT
ARQ118AJ	ARQ_F	ARQ118AJ-ARQ_F	Gout	gout	EFO:0004274	http://www.ebi.ac.uk/efo/EFO_0004274	0.99	EFO
ARQ118AM	ARQ_F	ARQ118AM-ARQ_F	Swelling	Swelling	NCIT:C3399	http://purl.obolibrary.org/obo/NCIT_C3399	0.989	NCIT
ARQ118AN	ARQ_F	ARQ118AN-ARQ_F	Nerve pain	Peripheral Nerve	NCIT:C12768	http://purl.obolibrary.org/obo/NCIT_C12768	0.789	NCIT
ARQ118BA	ARQ_F	ARQ118BA-ARQ_F	Heel Spurs	Plantar Fasciitis	EFO:1001909	http://www.ebi.ac.uk/efo/EFO_1001909	0.872	EFO
ARQ118BB	ARQ_F	ARQ118BB-ARQ_F	Plantar Fasciitis	Plantar Fasciitis	EFO:1001909	http://www.ebi.ac.uk/efo/EFO_1001909	0.98	EFO
ARQ118BC	ARQ_F	ARQ118BC-ARQ_F	Achilles tendonitis	Achilles Tendon	NCIT:C32043	http://purl.obolibrary.org/obo/NCIT_C32043	0.83	NCIT
ARQ118BD	ARQ_F	ARQ118BD-ARQ_F	Other tendonitis	Tendonitis	NCIT:C97141	http://purl.obolibrary.org/obo/NCIT_C97141	0.994	NCIT
ARQ118BJ	ARQ_F	ARQ118BJ-ARQ_F	Gout	gout	EFO:0004274	http://www.ebi.ac.uk/efo/EFO_0004274	0.99	EFO
ARQ118BM	ARQ_F	ARQ118BM-ARQ_F	Swelling	Swelling	NCIT:C3399	http://purl.obolibrary.org/obo/NCIT_C3399	0.989	NCIT
ARQ118BN	ARQ_F	ARQ118BN-ARQ_F	Nerve pain	Peripheral Nerve	NCIT:C12768	http://purl.obolibrary.org/obo/NCIT_C12768	0.789	NCIT
ARQ125C	ARQ_F	ARQ125C-ARQ_F	Ever told you had Ulcerative Colitis	Ulcerative Colitis	NCIT:C2952	http://purl.obolibrary.org/obo/NCIT_C2952	0.788	NCIT
ARQ125D	ARQ_F	ARQ125D-ARQ_F	Ever told you had Crohns Disease	Crohn's disease	EFO:0000384	http://www.ebi.ac.uk/efo/EFO_0000384	0.799	EFO
ARQ125E	ARQ_F	ARQ125E-ARQ_F	Ankylosing Spondylitis	Ankylosing Spondylitis	NCIT:C84564	http://purl.obolibrary.org/obo/NCIT_C84564	0.993	NCIT
ARQ135C	ARQ_F	ARQ135C-ARQ_F	Colonoscopy for Ulcerative Colitis	Ulcerative Colitis	NCIT:C2952	http://purl.obolibrary.org/obo/NCIT_C2952	0.751	NCIT
ARQ135D	ARQ_F	ARQ135D-ARQ_F	Colonoscopy for Crohns Disease	Crohn's disease	EFO:0000384	http://www.ebi.ac.uk/efo/EFO_0000384	0.734	EFO
ARXCCEX	ARX_F	ARXCCEX-ARX_F	Chest circumference exhalation (cm)	Chest Circumference	NCIT:C156606	http://purl.obolibrary.org/obo/NCIT_C156606	0.76	NCIT
ARXCCIN	ARX_F	ARXCCIN-ARX_F	Chest circumference inspiration (cm)	Chest Circumference	NCIT:C156606	http://purl.obolibrary.org/obo/NCIT_C156606	0.742	NCIT
AUAEXCMT	AUX_B	AUAEXCMT-AUX_B	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_C	AUAEXCMT-AUX_C	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_D	AUAEXCMT-AUX_D	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_E	AUAEXCMT-AUX_E	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_F	AUAEXCMT-AUX_F	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_G	AUAEXCMT-AUX_G	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_I	AUAEXCMT-AUX_I	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX_J	AUAEXCMT-AUX_J	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	AUX1	AUAEXCMT-AUX1	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUAEXCMT	P_AUX	AUAEXCMT-P_AUX	 Audio Exam	Audio Media	NCIT:C96977	http://purl.obolibrary.org/obo/NCIT_C96977	0.845	NCIT
AUALEQC	AUX_B	AUALEQC-AUX_B	Left Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.757	NCIT
AUALEQC	AUX_C	AUALEQC-AUX_C	Left Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.757	NCIT
AUALEQC	AUX1	AUALEQC-AUX1	Left Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.757	NCIT
AUAREQC	AUX_B	AUAREQC-AUX_B	Right Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.75	NCIT
AUAREQC	AUX_C	AUAREQC-AUX_C	Right Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.75	NCIT
AUAREQC	AUX1	AUAREQC-AUX1	Right Ear Quality Code	Quality	NCIT:C25283	http://purl.obolibrary.org/obo/NCIT_C25283	0.75	NCIT
AUATYMTL	AUX_I	AUATYMTL-AUX_I	Tympanogram Type Left Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.874	NCIT
AUATYMTL	AUX_J	AUATYMTL-AUX_J	Tympanogram Type Left Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.874	NCIT
AUATYMTL	P_AUX	AUATYMTL-P_AUX	Tympanogram Type Left Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.874	NCIT
AUATYMTR	AUX_I	AUATYMTR-AUX_I	Tympanogram Type Right Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.869	NCIT
AUATYMTR	AUX_J	AUATYMTR-AUX_J	Tympanogram Type Right Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.869	NCIT
AUATYMTR	P_AUX	AUATYMTR-P_AUX	Tympanogram Type Right Ear	Tympanogram Tracing Type	NCIT:C191216	http://purl.obolibrary.org/obo/NCIT_C191216	0.869	NCIT
