Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermIRI	MappingScore	Ontology	Comments
OHX10DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX10DI	Fluorosis DI: #10	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX10SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX10SE	Dental Sealants: #10	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.63	NCIT	
OHX10TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX10TR	Incisor Trauma: #10	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.67	SNOMED	
OHX11CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX11CTC	Coronal Caries: Tooth Count #11	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX11DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX11DI	Fluorosis DI: #11	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX12CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX12CTC	Coronal Caries: Tooth count #12	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.45	OHD	
OHX12DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX12DI	Fluorosis DI: #12	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.83	NCIT	
OHX12SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX12SE	Dental Sealants: #12	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.65	NCIT	
OHX13DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX13DI	Fluorosis DI: #13	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX13SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX13SE	Dental Sealants: #13	Sealant (substance)	http://snomed.info/id/311899008	0.47	SNOMED	
OHX13TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX13TC	Tooth Count: #13	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.64	NCIT	
OHX14DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX14DI	Fluorosis DI: #14	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX14SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX14SE	Dental Sealants: #14	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.63	NCIT	
OHX15CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX15CTC	Coronal Caries: Tooth count #15	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX15DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX15DI	Fluorosis DI: #15	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.8	NCIT	
OHX15TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX15TC	Tooth Count: #15	Tooth 15	http://purl.obolibrary.org/obo/NCIT_C94580	0.83	NCIT	
OHX16TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX16TC	Tooth Count: #16	Tooth 16	http://purl.obolibrary.org/obo/NCIT_C94581	0.83	NCIT	
OHX17TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX17TC	Tooth Count: #17	Tooth 17	http://purl.obolibrary.org/obo/NCIT_C94582	0.84	NCIT	
OHX18CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX18CTC	Coronal Caries: Tooth count #18	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX18DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX18DI	Fluorosis DI: #18	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.82	NCIT	
OHX18SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX18SE	Dental Sealants: #18	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.64	NCIT	
OHX18TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX18TC	Tooth Count: #18	Tooth 18	http://purl.obolibrary.org/obo/NCIT_C94583	0.82	NCIT	
OHX19CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX19CTC	Coronal Caries: Tooth count #19	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX19SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX19SE	Dental Sealants: #19	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.62	NCIT	
OHX19TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX19TC	Tooth Count: #19	Tooth 19	http://purl.obolibrary.org/obo/NCIT_C60728	0.83	NCIT	
OHX20CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX20CTC	Coronal Caries: Tooth count #20	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX20DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX20DI	Fluorosis DI: #20	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX20SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX20SE	Dental Sealants: #20	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.63	NCIT	
OHX20TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX20TC	Tooth Count: #20	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.65	NCIT	
OHX21CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX21CTC	Coronal Caries: Tooth count #21	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX22CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX22CTC	Coronal Caries: Tooth count #22	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX22TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX22TC	Tooth Count: #22	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.66	NCIT	
OHX23CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX23CTC	Coronal Caries: Tooth count #23	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX23DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX23DI	Fluorosis DI: #23	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.8	NCIT	
OHX23TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX23TC	Tooth Count: #23	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.64	NCIT	
OHX23TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX23TR	Incisor Trauma: #23	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.66	SNOMED	
OHX24CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX24CTC	Coronal Caries: Tooth count #24	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX24DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX24DI	Fluorosis DI: #24	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.81	NCIT	
OHX24TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX24TC	Tooth Count: #24	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.64	NCIT	
OHX24TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX24TR	Incisor Trauma: #24	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.67	SNOMED	
OHX25CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX25CTC	Coronal Caries: Tooth count #25	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
OHX25DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX25DI	Fluorosis DI: #25	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.8	NCIT	
OHX25TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX25TC	Tooth Count: #25	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.64	NCIT	
OHX25TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX25TR	Incisor Trauma: #25	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.66	SNOMED	
OHX26CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26CTC	Coronal Caries: Tooth count #26	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX26DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26DI	Fluorosis DI: #26	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX26TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26TC	Tooth Count: #26	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.63	NCIT	
OHX26TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26TR	Incisor Trauma: #26	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.66	SNOMED	
OHX27CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27CTC	Coronal Caries: Tooth count #27	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX27DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27DI	Fluorosis DI: #27	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX27TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27TC	Tooth Count: #27	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.62	NCIT	
OHX28CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28CTC	Coronal Caries: Tooth count #28	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX28DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28DI	Fluorosis DI: #28	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX28SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28SE	Dental Sealants: #28	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.62	NCIT	
OHX29CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29CTC	Coronal Caries: Tooth count #29	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX29DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29DI	Fluorosis DI: #29	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX29SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29SE	Dental Sealants: #29	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.62	NCIT	
OHX29TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29TC	Tooth Count: #29	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.62	NCIT	
OHX30CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30CTC	Coronal Caries: Tooth count #30	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.45	OHD	
OHX30DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30DI	Fluorosis DI: #30	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.83	NCIT	
OHX30SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30SE	Dental Sealants: #30	Sealant (substance)	http://snomed.info/id/311899008	0.49	SNOMED	
OHX30TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30TC	Tooth Count: #30	Tooth 30	http://purl.obolibrary.org/obo/NCIT_C52667	0.81	NCIT	
OHX31CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31CTC	Coronal Caries: Tooth count #31	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX31DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31DI	Fluorosis DI: #31	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHXEDEN	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXEDEN	Edentulous-yes	Edentulous	http://purl.obolibrary.org/obo/NCIT_C63746	0.92	NCIT	
OHXIMP	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXIMP	Dental Implant: yes / no	Dental Implant	http://purl.obolibrary.org/obo/NCIT_C63718	0.84	NCIT	
OHXRCAR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXRCAR	Root Caries: yes / no	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.52	OHD	
OHXRRES	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXRRES	Root restorations: yes / no	tooth restoration procedure	http://purl.obolibrary.org/obo/OHD_0000004	0.42	OHD	
OHAEXSTS	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAEXSTS	Overall Oral Health Exam Status	dental exam	http://purl.obolibrary.org/obo/OHD_0000019	0.35	OHD	
OHAPOS	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAPOS	Was participant exam position recumbent	Recumbent Position	http://purl.obolibrary.org/obo/NCIT_C77532	0.67	NCIT	
OHAREC	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAREC	Overall recommendation for care	Recommendation	http://purl.obolibrary.org/obo/NCIT_C25197	0.75	NCIT	
OHAROCCI	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAROCCI	Assessment of soft tissue lesion	Soft tissue lesion (disorder)	http://snomed.info/id/239953001	0.69	SNOMED	
OHAROCDE	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAROCDE	Denture/Partial Denture/plates	partial denture	http://purl.obolibrary.org/obo/OHD_0000310	0.84	OHD	
OHAROCDE	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAROCDE	Denture/Partial Denture/plates	Denture	http://purl.obolibrary.org/obo/NCIT_C63720	0.83	NCIT	
OHAROCDT	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAROCDT	Untreated Caries / Restorative needs	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.34	OHD	
OHAROTH	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHAROTH	Some other finding	dental finding	http://purl.obolibrary.org/obo/OHD_0000010	0.58	OHD	
OHASCST5	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHASCST5	Referral Status Code	Referral	http://purl.obolibrary.org/obo/NCIT_C52582	0.7	NCIT	
OHQ134	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ134	congenital heart murmurs	Heart Murmur	http://purl.obolibrary.org/obo/NCIT_C84480	0.77	NCIT	
OHQ136	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ136	heart valve problem	Valve problem of stoma (disorder)	http://snomed.info/id/236136006	0.7	SNOMED	
OHQ140	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ140	bacterial endocarditis	Bacterial Endocarditis	http://purl.obolibrary.org/obo/NCIT_C128359	0.99	NCIT	
OHQ142	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ142	rheumatic fever	Rheumatic Fever	http://purl.obolibrary.org/obo/NCIT_C34984	0.99	NCIT	
OHQ144	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ144	kidney disease w/ renal dialysis	Kidney disease (disorder)	http://snomed.info/id/90708001	0.7	SNOMED	
OHQ146	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ146	other artificial material	Artificial graft - material (substance)	http://snomed.info/id/303274001	0.76	SNOMED	
OHQ148	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ148	a hip bone or joint replacement	Joint Replacement	http://purl.obolibrary.org/obo/NCIT_C131579	0.8	NCIT	
OHQ410	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ410	Removable complete/partial max denture	partial denture	http://purl.obolibrary.org/obo/OHD_0000310	0.61	OHD	
OHQ420	OHXREF_C		Wears complete/partial max denture	partial denture	http://purl.obolibrary.org/obo/OHD_0000310	0.69	OHD	
OHQ430	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ430	Removable complete/partial mand. denture	partial denture	http://purl.obolibrary.org/obo/OHD_0000310	0.6	OHD	
OHQ490a	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ490a	Toothache	Toothache (finding)	http://snomed.info/id/27355003	0.87	SNOMED	
OHQ490b	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ490b	Sensitivity	Sensitivity (finding)	http://snomed.info/id/35209006	0.86	SNOMED	
OHQ490c	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ490c	Cavities/Caries	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.65	OHD	
OHQ490e	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ490e	Broken / fractured teeth	Broken teeth injury without complication (disorder)	http://snomed.info/id/263270004	0.51	SNOMED	
OHQ490f	OHXREF_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXREF_C.htm#OHQ490f	Staining/discoloration of teeth	Discoloration	http://purl.obolibrary.org/obo/NCIT_C124525	0.7	NCIT	
