Variable,Table,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags,Ontology
ARD026A,ARQ_F,Neck pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARD026C,ARQ_F,Mid back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARD026D,ARQ_F,Low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARD026E,ARQ_F,Buttocks pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARD026F,ARQ_F,Hip pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARD130A,ARQ_F,Joint pain/aching/stiffness,Joint Stiffness,NCIT:C79603,http://purl.obolibrary.org/obo/NCIT_C79603,0.8163396980424507,,NCIT
ARD130A,ARQ_F,Iritis/Uveitis eye,"Uveitis, CTCAE",NCIT:C55901,http://purl.obolibrary.org/obo/NCIT_C55901,0.8152421969424933,,NCIT
ARD130A,ARQ_F,Iritis/Uveitis eye,uveitis,EFO:1001231,http://www.ebi.ac.uk/efo/EFO_1001231,0.8020231010791276,,EFO
ARQ020A,ARQ_F,Neck Pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ020C,ARQ_F,Mid Back Pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ020D,ARQ_F,Low Back Pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ020E,ARQ_F,Buttocks Pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARQ020F,ARQ_F,Hip Pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ021AA,ARQ_F,Neck Pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ021AC,ARQ_F,Mid Back Pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ021AD,ARQ_F,Low Back Pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ021AE,ARQ_F,Buttocks Pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARQ021AF,ARQ_F,Hip Pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ021CA,ARQ_F,Neck Stiffness,Neck Stiffness,NCIT:C50664,http://purl.obolibrary.org/obo/NCIT_C50664,0.9867531994530683,,NCIT
ARQ022AA,ARQ_F,neck pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ022AC,ARQ_F,mid back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ022AD,ARQ_F,low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ022AE,ARQ_F,buttocks pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARQ022AF,ARQ_F,hip pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ023GA,ARQ_F,neck pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ023GC,ARQ_F,mid back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ023GD,ARQ_F,low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ023GE,ARQ_F,buttock pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.9969934975219682,,NCIT
ARQ023GF,ARQ_F,hip pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ024A,ARQ_F,neck pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ024C,ARQ_F,mid back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ024D,ARQ_F,low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ024E,ARQ_F,buttocks pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARQ024F,ARQ_F,hip pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ025A,ARQ_F,Neck pain,"Neck Pain, CTCAE 3.0",NCIT:C56135,http://purl.obolibrary.org/obo/NCIT_C56135,0.9847140764109892,,NCIT
ARQ025C,ARQ_F,Mid back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8748552320185241,,NCIT
ARQ025D,ARQ_F,Low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ025E,ARQ_F,Buttocks pain,Buttock Pain,NCIT:C78228,http://purl.obolibrary.org/obo/NCIT_C78228,0.8696735165458652,,NCIT
ARQ025F,ARQ_F,Hip pain,Hip Pain,NCIT:C34699,http://purl.obolibrary.org/obo/NCIT_C34699,0.9957291580013313,,NCIT
ARQ030A,ARQ_F,Taken ibuprofen for pain,Ibuprofen,NCIT:C561,http://purl.obolibrary.org/obo/NCIT_C561,0.8514272715969307,,NCIT
ARQ030D,ARQ_F,Taken Cox-2 inhibitor for pain,Cyclooxygenase Inhibitor,NCIT:C1323,http://purl.obolibrary.org/obo/NCIT_C1323,0.8562839721157923,,NCIT
ARQ034D,ARQ_F,Cox-2 inhibitor helped pain,Cyclooxygenase Inhibitor,NCIT:C1323,http://purl.obolibrary.org/obo/NCIT_C1323,0.8150850457019073,,NCIT
ARQ080,ARQ_F,Pain response to exercise,response to exercise,EFO:0007768,http://www.ebi.ac.uk/efo/EFO_0007768,0.9040868703845673,,EFO
ARQ080,ARQ_F,Low back pain,"Back Pain, CTCAE 3.0",NCIT:C56010,http://purl.obolibrary.org/obo/NCIT_C56010,0.8639735336568342,,NCIT
ARQ118AA,ARQ_F,Heel Spurs,Plantar Fasciitis,EFO:1001909,http://www.ebi.ac.uk/efo/EFO_1001909,0.862397668862383,,EFO
ARQ118AA,ARQ_F,Head affected,Affected,NCIT:C64917,http://purl.obolibrary.org/obo/NCIT_C64917,0.8337349035656348,,NCIT
ARQ118AB,ARQ_F,Plantar Fasciitis,Plantar Fasciitis,EFO:1001909,http://www.ebi.ac.uk/efo/EFO_1001909,0.9778396573753918,,EFO
ARQ118AB,ARQ_F,Plantar Fasciitis,Fasciitis,NCIT:C50559,http://purl.obolibrary.org/obo/NCIT_C50559,0.8443291290363039,,NCIT
ARQ118AB,ARQ_F,Spine affected,Affected,NCIT:C64917,http://purl.obolibrary.org/obo/NCIT_C64917,0.8074044764301179,,NCIT
ARQ118AC,ARQ_F,Achilles tendonitis,Achilles Tendon,NCIT:C32043,http://purl.obolibrary.org/obo/NCIT_C32043,0.8289201885732422,,NCIT
ARQ118AD,ARQ_F,Other tendonitis,Tendonitis,NCIT:C97141,http://purl.obolibrary.org/obo/NCIT_C97141,0.9936948479813654,,NCIT
ARQ118AJ,ARQ_F,Gout,gout,EFO:0004274,http://www.ebi.ac.uk/efo/EFO_0004274,0.986250150163436,,EFO
ARQ118AJ,ARQ_F,Gout,Gout,NCIT:C34650,http://purl.obolibrary.org/obo/NCIT_C34650,0.9755301339456327,,NCIT
ARQ118AJ,ARQ_F,Right shoulder/girdle affected,Shoulder Girdle,NCIT:C33547,http://purl.obolibrary.org/obo/NCIT_C33547,0.8294674136301488,,NCIT
ARQ118AM,ARQ_F,Swelling,Swelling,NCIT:C3399,http://purl.obolibrary.org/obo/NCIT_C3399,0.990373218568855,,NCIT
ARQ118AM,ARQ_F,Left shoulder/girdle affected,Shoulder Girdle,NCIT:C33547,http://purl.obolibrary.org/obo/NCIT_C33547,0.8331585251694513,,NCIT
ARQ118AM,ARQ_F,Swelling,eye swelling,EFO:0010679,http://www.ebi.ac.uk/efo/EFO_0010679,0.8019899412208312,,EFO
ARQ118BA,ARQ_F,Heel Spurs,Plantar Fasciitis,EFO:1001909,http://www.ebi.ac.uk/efo/EFO_1001909,0.862397668862383,,EFO
ARQ118BA,ARQ_F,wrist fracture  1st time,Wrist Fracture,NCIT:C80517,http://purl.obolibrary.org/obo/NCIT_C80517,0.81461966389144,,NCIT
ARQ118BB,ARQ_F,Plantar Fasciitis,Plantar Fasciitis,EFO:1001909,http://www.ebi.ac.uk/efo/EFO_1001909,0.9778396573753918,,EFO
ARQ118BB,ARQ_F,Plantar Fasciitis,Fasciitis,NCIT:C50559,http://purl.obolibrary.org/obo/NCIT_C50559,0.8443291290363039,,NCIT
ARQ118BB,ARQ_F,wrist fracture  2nd time,Wrist Fracture,NCIT:C80517,http://purl.obolibrary.org/obo/NCIT_C80517,0.8116607035709029,,NCIT
ARQ118BC,ARQ_F,Achilles tendonitis,Achilles Tendon,NCIT:C32043,http://purl.obolibrary.org/obo/NCIT_C32043,0.8289201885732422,,NCIT
ARQ118BD,ARQ_F,Other tendonitis,Tendonitis,NCIT:C97141,http://purl.obolibrary.org/obo/NCIT_C97141,0.9936948479813654,,NCIT
ARQ118BJ,ARQ_F,osteoporosis,"Osteoporosis, CTCAE 3.0",NCIT:C58396,http://purl.obolibrary.org/obo/NCIT_C58396,0.9922092312388879,,NCIT
ARQ118BJ,ARQ_F,Gout,gout,EFO:0004274,http://www.ebi.ac.uk/efo/EFO_0004274,0.986250150163436,,EFO
ARQ118BJ,ARQ_F,Gout,Gout,NCIT:C34650,http://purl.obolibrary.org/obo/NCIT_C34650,0.9755301339456327,,NCIT
ARQ118BM,ARQ_F,Swelling,Swelling,NCIT:C3399,http://purl.obolibrary.org/obo/NCIT_C3399,0.990373218568855,,NCIT
ARQ118BM,ARQ_F,Leisure time activity,Leisure Activity,NCIT:C104103,http://purl.obolibrary.org/obo/NCIT_C104103,0.9220318810666159,,NCIT
ARQ118BM,ARQ_F,Swelling,eye swelling,EFO:0010679,http://www.ebi.ac.uk/efo/EFO_0010679,0.8019899412208312,,EFO
ARQ125E,ARQ_F,Ankylosing Spondylitis,Ankylosing Spondylitis,NCIT:C84564,http://purl.obolibrary.org/obo/NCIT_C84564,0.9920047767319317,,NCIT
ARQ125E,ARQ_F,Ankylosing Spondylitis,ankylosing spondylitis,EFO:0003898,http://www.ebi.ac.uk/efo/EFO_0003898,0.981518395501783,,EFO
ARQ125E,ARQ_F,Hearing problems days,No Hearing Problems,NCIT:C131898,http://purl.obolibrary.org/obo/NCIT_C131898,0.8379976186645817,,NCIT
AUAEXCMT,AUX1,heart attack,myocardial infarction,EFO:0000612,http://www.ebi.ac.uk/efo/EFO_0000612,0.9873367109230459,age,EFO
AUAEXCMT,AUX1,Reported serving size/label serving size,serving size,FOODON:00003334,http://purl.obolibrary.org/obo/FOODON_00003334,0.8787009361433088,,FOODON
AUAEXCMT,AUX1, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_B, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_C, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_D, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_E, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_F, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_G, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_I, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_J, Audio Exam,Audio Media,NCIT:C96977,http://purl.obolibrary.org/obo/NCIT_C96977,0.8272640429980903,comment,NCIT
AUAEXCMT,AUX_B,Segmented neutrophils percent (%),Segmented Neutrophils to Neutrophils Ratio Measurement,EFO:0009252,http://www.ebi.ac.uk/efo/EFO_0009252,0.8261828195010079,,EFO
AUAEXCMT,AUX_C,quit smoking cigarettes,nicotine dependence,EFO:0003768,http://www.ebi.ac.uk/efo/EFO_0003768,0.8194226535650619,,EFO
AUD148,AUQ_G,Reader 2,Reader 2,NCIT:C94533,http://purl.obolibrary.org/obo/NCIT_C94533,0.9853271987779931,comment,NCIT
AUD148,AUQ_I,Generic drug code,Generic Drug,NCIT:C1312,http://purl.obolibrary.org/obo/NCIT_C1312,0.8763041771310875,,NCIT
AUD148,AUQ_G,Hearing aid or Cochlear implant,cochlear implant,EFO:0009728,http://www.ebi.ac.uk/efo/EFO_0009728,0.8122028732865137,,EFO
AUD148,AUQ_I,Hearing aid or Cochlear implant,cochlear implant,EFO:0009728,http://www.ebi.ac.uk/efo/EFO_0009728,0.8122028732865137,,EFO
AUQ020B,AUX_C,psoriasis?,psoriasis,EFO:0000676,http://www.ebi.ac.uk/efo/EFO_0000676,0.9844370737447736,,EFO
AUQ020B,AUX_B,Red cell distribution width (%),Red cell distribution width,EFO:0009188,http://www.ebi.ac.uk/efo/EFO_0009188,0.9796131123908012,,EFO
AUQ020B,AUX1,a stroke,stroke,EFO:0000712,http://www.ebi.ac.uk/efo/EFO_0000712,0.9286643762757216,age,EFO
AUQ020B,AUX1,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_B,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_C,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_D,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_E,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_F,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_G,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_I,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX_J,Sinus Problem ,Bothered by Sinus Problems,NCIT:C168704,http://purl.obolibrary.org/obo/NCIT_C168704,0.8201378255014643,,NCIT
AUQ020B,AUX1,Magnesium (mg),magnesium added,FOODON:03460774,http://purl.obolibrary.org/obo/FOODON_03460774,0.8128488556087475,,FOODON
AUQ110,AUQ_J,Hearing causes frustration when talking,Hearing Problem Causes Frustration When Talking with Family,NCIT:C113471,http://purl.obolibrary.org/obo/NCIT_C113471,0.8295472771218115,,NCIT
AUQ149c,AUQ_J,Vitamin K (mcg),Vitamin K Measurement,NCIT:C74907,http://purl.obolibrary.org/obo/NCIT_C74907,0.8528714911580628,,NCIT
AUQ149c,AUQ_J,Now have a cochlear implant,cochlear implant,EFO:0009728,http://www.ebi.ac.uk/efo/EFO_0009728,0.8035799960198755,,EFO
AUQ160,AUQ_B,Arm Circumference,brachial circumference,EFO:0004589,http://www.ebi.ac.uk/efo/EFO_0004589,0.9248178738730306,comment,EFO
AUQ160,AUQ,Left ABPI,ankle brachial index,EFO:0003912,http://www.ebi.ac.uk/efo/EFO_0003912,0.9125587655802708,,EFO
AUQ160,AUQ_C,Blood Urea Nitrogen (mg/dL),blood urea nitrogen measurement,EFO:0004741,http://www.ebi.ac.uk/efo/EFO_0004741,0.8344779125716966,,EFO
AUQ160,AUQ,Magnesium (mg),magnesium added,FOODON:03460774,http://purl.obolibrary.org/obo/FOODON_03460774,0.8128488556087475,,FOODON
AUQ160,AUQ,Now wearing a hearing aid,Hearing Aid,NCIT:C183182,http://purl.obolibrary.org/obo/NCIT_C183182,0.8016337704699658,,NCIT
AUQ160,AUQ_B,Now wearing a hearing aid,Hearing Aid,NCIT:C183182,http://purl.obolibrary.org/obo/NCIT_C183182,0.8016337704699658,,NCIT
AUQ160,AUQ_C,Now wearing a hearing aid,Hearing Aid,NCIT:C183182,http://purl.obolibrary.org/obo/NCIT_C183182,0.8016337704699658,,NCIT
AUQ191,AUQ_J,Ears ringing buzzing past year,Get Ringing or Buzzing in Ears,NCIT:C111626,http://purl.obolibrary.org/obo/NCIT_C111626,0.8335930196719307,,NCIT
AUQ450a,AUQ_J,speech-language,Speech Language Therapy,NCIT:C159273,http://purl.obolibrary.org/obo/NCIT_C159273,0.858564786287818,,NCIT
AUQ450b,AUQ_J,reading,Reading,NCIT:C48356,http://purl.obolibrary.org/obo/NCIT_C48356,0.9941248796104721,,NCIT
AUQ450b,AUQ_J,reading,reading,EFO:0005229,http://www.ebi.ac.uk/efo/EFO_0005229,0.9875444306807435,,EFO
AUQ450b,AUQ_J,Zinc (mg),Zinc,NCIT:C948,http://purl.obolibrary.org/obo/NCIT_C948,0.9074560100147027,,NCIT
AUQ450d,AUQ_J,intellectual disability,Intellectual Disability,NCIT:C97250,http://purl.obolibrary.org/obo/NCIT_C97250,0.9900722338307888,,NCIT
AUQ450d,AUQ_J,intellectual disability,intellectual disability,EFO:0003847,http://www.ebi.ac.uk/efo/EFO_0003847,0.9865075209932067,,EFO
AUQ450d,AUQ_J,Modification Code,Data Change Date,NCIT:C114550,http://purl.obolibrary.org/obo/NCIT_C114550,0.8929404541775395,,NCIT
AUQ450f,AUQ_J,other disabilities,Disability,NCIT:C21007,http://purl.obolibrary.org/obo/NCIT_C21007,0.8247302491409625,,NCIT
AUQ550A,AUX_J,Cold,Cold,NCIT:C62180,http://purl.obolibrary.org/obo/NCIT_C62180,0.9631816254176448,,NCIT
AUQ550A,AUX_J,Cold,chronic obstructive pulmonary disease,EFO:0000341,http://www.ebi.ac.uk/efo/EFO_0000341,0.9497946688401999,,EFO
AUQ550A,AUX_J,Total sugars (gm),Total Sugar,NCIT:C68503,http://purl.obolibrary.org/obo/NCIT_C68503,0.819994604257331,,NCIT
AUQ550B,AUX_J,Runny Nose,Rhinorrhea,NCIT:C54282,http://purl.obolibrary.org/obo/NCIT_C54282,0.9947610097161388,,NCIT
AUQ550B,AUX_J,Runny Nose,rhinitis,EFO:0008521,http://www.ebi.ac.uk/efo/EFO_0008521,0.9865492228935585,,EFO
AUQ550B,AUX_J,Theobromine (mg),Theobromine,NCIT:C87684,http://purl.obolibrary.org/obo/NCIT_C87684,0.9493732274113473,,NCIT
AUQ550C,AUX_J,Earache Right Ear,Ear Pain,NCIT:C37944,http://purl.obolibrary.org/obo/NCIT_C37944,0.8665816128711145,,NCIT
AUQ550D,AUX_J,Earache Left Ear,Ear Pain,NCIT:C37944,http://purl.obolibrary.org/obo/NCIT_C37944,0.8781440618552558,,NCIT
AUXLOABN,AUX_C,celiac disease?,celiac disease,EFO:0001060,http://www.ebi.ac.uk/efo/EFO_0001060,0.9848311103080317,,EFO
AUXLOABN,AUX1,emphysema,emphysema,EFO:0000464,http://www.ebi.ac.uk/efo/EFO_0000464,0.9844030493928917,age,EFO
AUXLOABN,AUX_B,Folate RBC(nmol/L RBC),red blood cell folate measurement,EFO:0009703,http://www.ebi.ac.uk/efo/EFO_0009703,0.8872664223555787,,EFO
AUXLOABN,AUX1,Phosphorus (mg),phosphorus added,FOODON:03460223,http://purl.obolibrary.org/obo/FOODON_03460223,0.8586975884851642,,FOODON
AUXLOABN,AUX1,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_B,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_C,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_D,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_E,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_F,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_G,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_I,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXLOABN,AUX_J,Other Exam Abnormality Left Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8102545135009936,,NCIT
AUXROABN,AUX_C,congestive heart failure,congestive heart failure,EFO:0000373,http://www.ebi.ac.uk/efo/EFO_0000373,0.990234412438936,,EFO
AUXROABN,AUX1,a goiter,goiter,EFO:0004283,http://www.ebi.ac.uk/efo/EFO_0004283,0.9498388519625756,age,EFO
AUXROABN,AUX_B,Folate RBC (ng/mL RBC),red blood cell folate measurement,EFO:0009703,http://www.ebi.ac.uk/efo/EFO_0009703,0.9248946250131221,,EFO
AUXROABN,AUX1,Reported serving size/label serving size,serving size,FOODON:00003334,http://purl.obolibrary.org/obo/FOODON_00003334,0.8787009361433088,,FOODON
AUXROABN,AUX1,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_B,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_C,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_D,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_E,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_F,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_G,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
AUXROABN,AUX_I,Other Exam Abnormality Right Ear,Abnormality,NCIT:C9440,http://purl.obolibrary.org/obo/NCIT_C9440,0.8048853094387458,,NCIT
