NHANES Variable ID,NHANES Variable Label,Mapped Ontology Term Label,Mapped Ontology Term IRI,Mapping Score,Ontology
LBX138LA,PCB138 & 158 Lipid Adj (ng/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.421998957,NCIT
OHX21PCA,LOA: Mnd L(1B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.421955148,NCIT
CSQ490,High test light (1000 candelas/m2),High,http://purl.obolibrary.org/obo/NCIT_C25227,0.421920746,NCIT
SMQ858,Last 7-d at job someone smoked indoors,Someone There,http://purl.obolibrary.org/obo/NCIT_C172728,0.42184841,NCIT
AAXBDMAT,Impermeable Mattress Cover,Permeable (qualifier value),http://snomed.info/id/82540007,0.421570325,SNOMED
OSQ040bf,Under/over 50 when fracd. wrist 6th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.421012736,EFO
OHD08PCS,LOA: mesial #8 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.420915867,NCIT
URX24D,24-D (ug/L),dystonia 24,http://purl.obolibrary.org/obo/MONDO_0014019,0.42066823,MONDO
OHX07PCP,LOA: Max R(LI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.420393683,NCIT
LBC195,PCB 195 (ng/g),MIR195 Gene,http://purl.obolibrary.org/obo/NCIT_C81749,0.420388321,NCIT
OHX26PCP,LOA: Mnd R(LI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.420289965,NCIT
LEQ020,Large adult used poor thigh cuff fit,Adult,http://purl.obolibrary.org/obo/NCIT_C17600,0.42012603,NCIT
DXXL3TBS,L3 TBS,L3 larva,http://www.ebi.ac.uk/efo/EFO_0002720,0.42011357,EFO
OHX06PCS,LOA: Max R(C) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.420060895,NCIT
OHX27PCS,LOA: Mnd R(C) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.419957424,NCIT
VTQ271B,How long in hrs since you bathed,Since,http://purl.obolibrary.org/obo/NCIT_C45325,0.41993479,NCIT
VTD271B,How long in hrs since you bathed,Since,http://purl.obolibrary.org/obo/NCIT_C45325,0.41993479,NCIT
FFQ0007A,Q.7A What kind of milk did you drink,Type of Milk Usually Drink,http://purl.obolibrary.org/obo/NCIT_C188087,0.419656529,NCIT
OHD711A,Need teeth pulled because of pain,Unable to Eat Because of Mouth Pain,http://purl.obolibrary.org/obo/NCIT_C131714,0.419468068,NCIT
URDMHHLC,Mono(2ethyl5hydroxyhexyl) phthalate cmt,Diethyl Phthalate,http://purl.obolibrary.org/obo/NCIT_C76749,0.419401333,NCIT
CIQP40,No. attacks lifetime real danger,Lifetime Risk,http://purl.obolibrary.org/obo/NCIT_C19662,0.419335335,NCIT
HRDHGLC,HRXHG Hair Mercury Comment - MQL,"Mercury measurement, hair (procedure)",http://snomed.info/id/7837002,0.419094365,SNOMED
DBD235b,drank milk age 13-17,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.418944848,NCIT
DBD235be,drank milk age 13-17,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.418944848,NCIT
DBQ235B,drank milk age 13-17,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.418944848,NCIT
OHX11PCL,LOA: Max L(C) MdL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.418706656,NCIT
LBXF02LA,12378-pncdf Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.418689072,NCIT
LBCTCD,2378-Tetrachloro-p-dioxin(tcdd)(fg/g),Tetrachlorodibenzodioxin poisoning (disorder),http://snomed.info/id/25440005,0.418682364,SNOMED
OHX22PCL,LOA: Mnd L(C) MdL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.418604181,NCIT
URXDHD,Desethyl hydroxy DEET (ug/L),hydroxy propyl starch,http://purl.obolibrary.org/obo/FOODON_03413119,0.418530338,FOODON
LBC028,PCB 28 (ng/g),cataract 28,http://purl.obolibrary.org/obo/MONDO_0012175,0.418510352,MONDO
OHX10PCD,LOA: Max L(LI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.418488689,NCIT
OHX23PCD,LOA: Mnd L(LI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.418386374,NCIT
OSQ040bg,Under/over 50 when fracd. wrist 7th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.418372795,EFO
AUQ060,Hear a whisper from across a quiet room,Room,http://purl.obolibrary.org/obo/NCIT_C69074,0.4182877,NCIT
LBX196LA,PCB196 & 203 Lipid Adj (ng/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.418111117,NCIT
LBD187LC,PCB187,CB185,http://www.ebi.ac.uk/efo/EFO_0004048,0.417786529,EFO
SS187,PCB187,CB185,http://www.ebi.ac.uk/efo/EFO_0004048,0.417786529,EFO
OHX04PCA,LOA: Max R(2B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41775353,NCIT
OHX29PCA,LOA: Mnd R(2B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417651754,NCIT
OHX03PCA,LOA: Max R(1M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417635948,NCIT
LBC114,PCB 114 (ng/g),Human rhinovirus 114 (organism),http://snomed.info/id/60847003,0.417606443,SNOMED
OHX08PCP,LOA: Max R(CI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417574187,NCIT
DBD050,Age stopped receiving formula (days),beef formula,http://purl.obolibrary.org/obo/FOODON_00004146,0.417559482,FOODON
DBD050,Age stopped receiving formula(days),beef formula,http://purl.obolibrary.org/obo/FOODON_00004146,0.417559482,FOODON
OHX30PCA,LOA: Mnd R(1M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417534258,NCIT
BPQ100A,Now eating fewer high fat foods,High saturated fat food (substance),http://snomed.info/id/228015007,0.41753004,SNOMED
OHX02PCA,LOA: Max R(2M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417515362,NCIT
OHX25PCP,LOA: Mnd R(CI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417472541,NCIT
OHX05PCA,LOA: Max R(1B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417467285,NCIT
OHX31PCA,LOA: Mnd R(2M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417413759,NCIT
OHX28PCA,LOA: Mnd R(1B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.417365718,NCIT
SXD630,Last perform oral sex new male/days (B),Perforation,http://purl.obolibrary.org/obo/NCIT_C4080,0.4173555,NCIT
OHD12PCS,LOA: mesial #12 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.41727745,NCIT
OHX11PCM,LOA: Max L(C) MdF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416979594,NCIT
OHX13PCP,LOA: Max L(2B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416920349,NCIT
OHX22PCM,LOA: Mnd L(C) MdF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416878382,NCIT
OHX20PCP,LOA: Mnd L(2B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41681918,NCIT
OHX14PCP,LOA: Max L(1M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416803469,NCIT
OHX19PCP,LOA: Mnd L(1M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416702385,NCIT
OHX15PCP,LOA: Max L(2M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416683602,NCIT
OHX12PCP,LOA: Max L(1B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416635813,NCIT
OHX18PCP,LOA: Mnd L(2M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.416582605,NCIT
OHX21PCP,LOA: Mnd L(1B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41653485,NCIT
DBD235c,drank milk age 18-35,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.416124771,NCIT
DBD235ce,drank milk age 18-35,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.416124771,NCIT
DBQ235C,drank milk age 18-35,Rank,http://purl.obolibrary.org/obo/NCIT_C48904,0.416124771,NCIT
LBD151LC,PCB151,CD151 Gene,http://purl.obolibrary.org/obo/NCIT_C102464,0.415842448,NCIT
SS151,PCB151,CD151 Gene,http://purl.obolibrary.org/obo/NCIT_C102464,0.415842448,NCIT
FSQ220,Fd Stmp HH amount last time,A Medium Amount of Time,http://purl.obolibrary.org/obo/NCIT_C136333,0.415725385,NCIT
OHX09PCD,LOA: Max L(CI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.415707096,NCIT
LBC177,PCB 177 (ng/g),CD177 Gene,http://purl.obolibrary.org/obo/NCIT_C113573,0.415696485,NCIT
SSBDCPP,Bis(13-dichloro-2-propyl) phospht(ug/L),hydroxy propyl distarch phosphate,http://purl.obolibrary.org/obo/FOODON_03413118,0.415671072,FOODON
OHX24PCD,LOA: Mnd L(CI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.415606807,NCIT
OSQ040bh,Under/over 50 when fracd. wrist 8th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.41557932,EFO
OSQ040bi,Under/over 50 when fracd. wrist 9th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.41557932,EFO
FFQ0042B,Q.42B Fresh tomatoes eaten other times,06330 - tomatoes (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540633,0.415558532,FOODON
LBD118LC,PCB118,ABCB11 Gene,http://purl.obolibrary.org/obo/NCIT_C123859,0.415372779,NCIT
OHX22BPS,BOP: mesial #22,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.415363395,NCIT
LBD066LC,PCB 66,immunodeficiency 66,http://purl.obolibrary.org/obo/MONDO_0030013,0.415210789,MONDO
LBD157LC,PCB 157,NCI-H157,http://www.ebi.ac.uk/efo/EFO_0003118,0.415062307,EFO
LBD199LC,PCB 199,VC199,http://www.ebi.ac.uk/efo/EFO_0004092,0.41495061,EFO
FFQ0021A,Q.21A Did you eat fresh peaches,Fresh,http://purl.obolibrary.org/obo/NCIT_C75531,0.414861738,NCIT
FFQ0042A,Q.42A Fresh tomatoes eaten in season,Season,http://purl.obolibrary.org/obo/NCIT_C94729,0.414825618,NCIT
WHQ510G,Think girls will like me better,Like,http://purl.obolibrary.org/obo/NCIT_C77969,0.414346155,NCIT
SMQ866,Last 7-d spent time in a bar,Time Spent Bicycling,http://purl.obolibrary.org/obo/NCIT_C126240,0.414288326,NCIT
CIQP19,Approx age when attack occurred,Location Where Event Occurred,http://purl.obolibrary.org/obo/NCIT_C53509,0.414277178,NCIT
CIQP28,Approx age when attack occurred,Location Where Event Occurred,http://purl.obolibrary.org/obo/NCIT_C53509,0.414277178,NCIT
OHX10BPS,BOP: mesial #10,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.414252054,NCIT
OHX06PCL,LOA: Max R(C) MdL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.414221291,NCIT
OHX27PCL,LOA: Mnd R(C) MdL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.414122074,NCIT
LBD128LC,PCB 128,CB128,http://www.ebi.ac.uk/efo/EFO_0004046,0.414118202,EFO
OHX07PCD,LOA: Max R(LI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41401025,NCIT
OHX26PCD,LOA: Mnd R(LI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.413911185,NCIT
OHX10PCS,LOA: Max L(LI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.413659415,NCIT
OHX23PCS,LOA: Mnd L(LI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.413560601,NCIT
LBXHXCLA,33'44'55'-hxcb Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.413498036,NCIT
LBD156LC,PCB 156,GM12156,http://www.ebi.ac.uk/efo/EFO_0001141,0.41337347,EFO
DXXL4TBS,L4 TBS,L4 Vertebra,http://purl.obolibrary.org/obo/NCIT_C32902,0.413215813,NCIT
OHX30BPS,BOP: mesial #30,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.413205346,NCIT
ARQ034B,Naproxyn helped pain,Naproxol,http://purl.obolibrary.org/obo/NCIT_C83990,0.412623861,NCIT
OHX06PCM,LOA: Max R(C) MdF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412548919,NCIT
OHX04PCP,LOA: Max R(2B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412491543,NCIT
OHX27PCM,LOA: Mnd R(C) MdF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412450899,NCIT
OHX29PCP,LOA: Mnd R(2B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412393563,NCIT
OHX03PCP,LOA: Max R(1M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412378347,NCIT
OHX30PCP,LOA: Mnd R(1M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412280448,NCIT
OHX02PCP,LOA: Max R(2M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412262257,NCIT
OHX05PCP,LOA: Max R(1B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412215972,NCIT
LBXD01LA,12378-pncdd Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.412189567,NCIT
OHX31PCP,LOA: Mnd R(2M) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41216444,NCIT
OHX28PCP,LOA: Mnd R(1B) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.412118188,NCIT
HRXHG,Total Hair Mercury (ppm) MQL Version,Version,http://purl.obolibrary.org/obo/NCIT_C25714,0.411851362,NCIT
LBC209,PCB 209 (ng/g),CD209 Gene,http://purl.obolibrary.org/obo/NCIT_C21568,0.411789318,NCIT
OHX11BPS,BOP: mesial #11,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.411601424,NCIT
LBCF05,123678-Hexachlorofuran(hxcdf)(fg/g),Hexachlorophene,http://purl.obolibrary.org/obo/NCIT_C47556,0.411570546,NCIT
LBC118,PCB 118 (ng/g),G118,http://www.ebi.ac.uk/efo/EFO_0006397,0.411408807,EFO
OHX08PCD,LOA: Max R(CI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.411316436,NCIT
OHX25PCD,LOA: Mnd R(CI) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.411219291,NCIT
LBXSCC,SCCmec Type,Type,http://purl.obolibrary.org/obo/NCIT_C25284,0.411148239,NCIT
OHX24BPS,BOP: mesial #24,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.411060508,NCIT
LBXTC2,344'5-tcb (fg/g),FG syndrome 5,http://purl.obolibrary.org/obo/MONDO_0010366,0.411042302,MONDO
LBXDFS,Floor GFAAS (ug/sq.ft.),Floor,http://purl.obolibrary.org/obo/NCIT_C66795,0.411037006,NCIT
OHX09PCS,LOA: Max L(CI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410972399,NCIT
OHX24PCS,LOA: Mnd L(CI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410875497,NCIT
LBD110LC,PCB110,ABCB11 Gene,http://purl.obolibrary.org/obo/NCIT_C123859,0.410834617,NCIT
SS110,PCB110,ABCB11 Gene,http://purl.obolibrary.org/obo/NCIT_C123859,0.410834617,NCIT
OHX13PCD,LOA: Max L(2B) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410691512,NCIT
OHX20PCD,LOA: Mnd L(2B) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410594809,NCIT
OHX14PCD,LOA: Max L(1M) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410579791,NCIT
OHX19PCD,LOA: Mnd L(1M) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410483167,NCIT
OHX15PCD,LOA: Max L(2M) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410465212,NCIT
OHX12PCD,LOA: Max L(1B) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.41041953,NCIT
OHX18PCD,LOA: Mnd L(2M) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410368669,NCIT
OSQ040bj,Under/over 50 when fracd wrist 10th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.410353476,EFO
LBCBR5LA,22'44'5-pentabrompheyl lpd adj(ng/g),HEYL Gene,http://purl.obolibrary.org/obo/NCIT_C114520,0.410328194,NCIT
OHX21PCD,LOA: Mnd L(1B) DF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.410323019,NCIT
OHX13BPS,BOP: mesial #13,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.410322417,NCIT
CSXSLTSG,Whole Mouth Test: 1 M NaCl gLMS,Whole,http://purl.obolibrary.org/obo/NCIT_C25326,0.410282885,NCIT
SXQ753,Ever told by MD you had HPV (F),Ever,http://purl.obolibrary.org/obo/NCIT_C113445,0.410218465,NCIT
LBD101LC,PCB101,101 Mouse,http://purl.obolibrary.org/obo/NCIT_C14567,0.410133705,NCIT
SS101,PCB101,101 Mouse,http://purl.obolibrary.org/obo/NCIT_C14567,0.410133705,NCIT
LBXF04LA,123478-hxcdf Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.410129122,NCIT
LBC151,PCB 151 (ng/g),CD151 Gene,http://purl.obolibrary.org/obo/NCIT_C102464,0.410048105,NCIT
LBD146LC,PCB 146,SB146,http://www.ebi.ac.uk/efo/EFO_0004067,0.410041933,EFO
LBC044,PCB 44 (ng/g),cataract 44,http://purl.obolibrary.org/obo/MONDO_0014673,0.409955825,MONDO
OHX18BPS,BOP: mesial #18,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.409919047,NCIT
LBD196LC,PCB196,NCI-H196,http://www.ebi.ac.uk/efo/EFO_0006668,0.409855659,EFO
LBXF03LA,23478-pncdf Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.409575593,NCIT
OHX14BPS,BOP: mesial #14,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.409479495,NCIT
CSXLEAOD,Smell Test: Leather Scent,Smell of breath (observable entity),http://snomed.info/id/271671001,0.409394449,SNOMED
LBXF06LA,123789-hxcdf Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.409368285,NCIT
OHX07PCS,LOA: Max R(LI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.409332647,NCIT
OHX25BPS,BOP: mesial #25,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.409275857,NCIT
OHX26PCS,LOA: Mnd R(LI) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.4092369,NCIT
LBC189,PCB 189 (ng/g),CB189,http://www.ebi.ac.uk/efo/EFO_0004076,0.409170533,EFO
OHQ860,Ever been told of bone loss around teeth,Loss of teeth due to extraction (disorder),http://snomed.info/id/44402007,0.409130031,SNOMED
OHD22PCS,LOA: mesial #22 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.408954504,NCIT
TeloStd,Asso. Std. Dev. of Mean T/S ratio,Ratio,http://purl.obolibrary.org/obo/NCIT_C44256,0.408934686,NCIT
FFQ_FOOD,The Food ID from DietCalc,Food,http://purl.obolibrary.org/obo/NCIT_C62695,0.40881762,NCIT
OHX20BPS,BOP: mesial #20,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.408692078,NCIT
LBD099LC,PCB 99,Human rhinovirus 99 (organism),http://snomed.info/id/81401002,0.408608237,SNOMED
