NHANES Variable ID,NHANES Variable Label,Mapped Ontology Term Label,Mapped Ontology Term IRI,Mapping Score,Ontology
LBXD07,12346789-ocdd (fg/g),CID 91846789,http://purl.obolibrary.org/obo/CHEBI_151737,0.433837157,CHEBI
LBCD07,12346789-ocdd (fg/g),CID 91846789,http://purl.obolibrary.org/obo/CHEBI_151737,0.433837157,CHEBI
BIXS304K,Resistance (Ohms) @ 304 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.433743488,EFO
OHD20CJS,LOA: mesial #20 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.433678741,UBERON
LBXS11MK,HPV 11 (Merck competitive Luminex assay),Assay,http://purl.obolibrary.org/obo/NCIT_C60819,0.433663664,NCIT
FFQ0023B,Q.23B Did you eat melons rest of year?,Melon,http://purl.obolibrary.org/obo/NCIT_C72029,0.433564295,NCIT
LBXMC,Mean Cell Hgb Conc. (g/dL),Cell,http://purl.obolibrary.org/obo/NCIT_C48694,0.433477442,NCIT
OSQ040bc,Under/over 50 when fracd. wrist 3rd time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.433258878,EFO
AUQ600,Listened to Music w/Earphones Yesterday?,Yesterday or Today,http://purl.obolibrary.org/obo/NCIT_C136321,0.433096427,NCIT
DEABACK,Back with elbows image captured,elbow,http://purl.obolibrary.org/obo/UBERON_0001461,0.432995759,UBERON
OHD711G,Need teeth pulled because of other,Need,http://purl.obolibrary.org/obo/NCIT_C41204,0.432946081,NCIT
URD5NALC,5NDA Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.432875755,NCIT
DBD050,Age stopped receiving formula (days),beef formula,http://purl.obolibrary.org/obo/FOODON_00004146,0.43286424,FOODON
DBD050,Age stopped receiving formula(days),beef formula,http://purl.obolibrary.org/obo/FOODON_00004146,0.43286424,FOODON
WHQ100i,Took RX diet pills to not gain,Gain,http://purl.obolibrary.org/obo/NCIT_C37956,0.432834792,NCIT
LBXS16MK,HPV 16 (Merck competitive Luminex assay),Assay,http://purl.obolibrary.org/obo/NCIT_C60819,0.432700094,NCIT
CIQP44E,Strong Fear: Being outside away,Strong,http://purl.obolibrary.org/obo/NCIT_C62223,0.432676272,NCIT
FSD190,Fd Stmp SP mos authorized in last 12 mos,MOS Gene,http://purl.obolibrary.org/obo/NCIT_C16881,0.432471907,NCIT
MCQ230c,3rd cancer - what kind was it?,Kind,http://purl.obolibrary.org/obo/NCIT_C43642,0.4324438,NCIT
WTSPP22,PPesticides Mec Weight Jack Knife Rep 22,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.432386904,NCIT
DIQ070,Take diabetic pills to lower blood sugar,Random blood sugar low (finding),http://snomed.info/id/166891009,0.432376684,SNOMED
DID070,Take diabetic pills to lower blood sugar,Random blood sugar low (finding),http://snomed.info/id/166891009,0.432376684,SNOMED
CIQP21E,Fear: Being outside away,Outside Laboratory,http://purl.obolibrary.org/obo/NCIT_C182259,0.432095096,NCIT
OSQ040be,Under/over 50 when fracd. wrist 5th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.431963108,EFO
WTSPP18,PPesticides Mec Weight Jack Knife Rep 18,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.43189133,NCIT
SMQ940,Last 7-d someone used e-cigs indoors?,Someone There,http://purl.obolibrary.org/obo/NCIT_C172728,0.431724812,NCIT
SXD621,How old when first had oral sex (B),First,http://purl.obolibrary.org/obo/NCIT_C25509,0.431704397,NCIT
CBD130,Money spent on carryout/delivered foods,Forceps delivery - delivered (finding),http://snomed.info/id/200130005,0.431599153,SNOMED
CBD131,Money spent on carryout/delivered foods,Forceps delivery - delivered (finding),http://snomed.info/id/200130005,0.431599153,SNOMED
LBXTCDLA,2378-tcdd Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.431458088,NCIT
OHD11CJS,LOA: mesial #11 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.431402251,UBERON
VTQ230A,Toilet bowl deodorizers?,Toilet Use,http://purl.obolibrary.org/obo/NCIT_C131919,0.431293734,NCIT
VTQ230A,Toilet bowl deodorizers,Toilet Use,http://purl.obolibrary.org/obo/NCIT_C131919,0.431293734,NCIT
OHD14CJS,LOA: mesial #14 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.431269088,UBERON
WTSPP10,PPesticides Mec Weight Jack Knife Rep 10,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.431243206,NCIT
OHD24CJS,LOA: mesial #24 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.43108044,UBERON
SSURHIBP,Mono-2-hydroxy-iso-butyl phthlte (ng/mL),Butylated Hydroxyanisole,http://purl.obolibrary.org/obo/NCIT_C44347,0.431043895,NCIT
URXTCC,trans dichlorovnl-dimeth carboacid(ug/L),dichloroacetic acid,http://purl.obolibrary.org/obo/CHEBI_36386,0.431008221,CHEBI
LBDVIDLC,25OHD comment code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.430997593,NCIT
FSQ410,Adult - days cut size or skipped meals,Adult,http://purl.obolibrary.org/obo/NCIT_C17600,0.430834243,NCIT
WTSPP20,PPesticides Mec Weight Jack Knife Rep 20,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.430696014,NCIT
URD34MLC,3-methipurc acd & 4-methipurc acid comt,Ipurolic acid,http://purl.obolibrary.org/obo/CHEBI_187431,0.430495686,CHEBI
URD34MLC,3-Methipurc acd & 4-Methipurc acid comt,Ipurolic acid,http://purl.obolibrary.org/obo/CHEBI_187431,0.430495686,CHEBI
SMD410,Does anyone smoke inside home?,Does put one object inside another (finding),http://snomed.info/id/284332004,0.430478493,SNOMED
OHD13CJS,LOA: mesial #13 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.430240711,UBERON
LBDTC2LC,344'5-tcb comment code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.430051449,NCIT
LBDTC2LC,344'5-tcb Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.430051449,NCIT
LBXS06MK,HPV 06 (Merck competitive Luminex assay),Assay,http://purl.obolibrary.org/obo/NCIT_C60819,0.429928543,NCIT
LBDD3LC,Lead dust floor (FAAS) comment code,Floor,http://purl.obolibrary.org/obo/NCIT_C66795,0.429909969,NCIT
RDQ030,Coughing most days - over 3 mo period,Period,http://purl.obolibrary.org/obo/NCIT_C25616,0.429890956,NCIT
RDD030,Coughing most days - over 3 mo period,Period,http://purl.obolibrary.org/obo/NCIT_C25616,0.429890956,NCIT
RDQ031,Coughing most days - over 3 mo period,Period,http://purl.obolibrary.org/obo/NCIT_C25616,0.429890956,NCIT
WTSPP11,PPesticides Mec Weight Jack Knife Rep 11,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.429660308,NCIT
WTSPP44,PPesticides Mec Weight Jack Knife Rep 44,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.429645345,NCIT
FFQ0035B,Q.35B Did you eat corn rest of year?,Corn,http://purl.obolibrary.org/obo/NCIT_C72066,0.429601078,NCIT
WTSPP14,PPesticides Mec Weight Jack Knife Rep 14,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.429599449,NCIT
DEQ034C,Wear a long sleeved shirt,Sleeve Lobectomy,http://purl.obolibrary.org/obo/NCIT_C94448,0.429515214,NCIT
WTSPP24,PPesticides Mec Weight Jack Knife Rep 24,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.42951318,NCIT
WTANA2YR,Two-year SSANA subsample weights,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.429395225,NCIT
OHD25CJS,LOA: mesial #25 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.42935147,UBERON
FSD170N,No. people in HH authorized for fd stmps,Authorization,http://purl.obolibrary.org/obo/NCIT_C41192,0.429220305,NCIT
WTSPP13,PPesticides Mec Weight Jack Knife Rep 13,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.429128428,NCIT
VTQ251A,Spend time in pool hot tub steam room?,Room,http://purl.obolibrary.org/obo/NCIT_C69074,0.429007096,NCIT
BIXS723K,Resistance (Ohms) @ 723 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.428918145,EFO
BIXS339K,Resistance (Ohms) @ 339 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.428841606,EFO
CIQG21,About how old when first WTA?,First,http://purl.obolibrary.org/obo/NCIT_C25509,0.428745963,NCIT
WTSPP25,PPesticides Mec Weight Jack Knife Rep 25,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.428719661,NCIT
OHD23CJS,LOA: mesial #23 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.428715111,UBERON
LBD206LC,PCB206 comment code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.428700179,NCIT
LBD206LC,PCB206 Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.428700179,NCIT
BIXS421K,Resistance (Ohms) @ 421 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.428605915,EFO
WTSPP50,PPesticides Mec Weight Jack Knife Rep 50,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.428543647,NCIT
MCQ140,Trouble seeing even with glass/contacts,Trouble with Coordination,http://purl.obolibrary.org/obo/NCIT_C111064,0.428440941,NCIT
LBD209LC,PCB209 Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.42844056,NCIT
WTSPP23,PPesticides Mec Weight Jack Knife Rep 23,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.428426298,NCIT
OHD27CJS,LOA: mesial #27 FGM/CEJ,CAL 27,http://www.ebi.ac.uk/efo/EFO_0006366,0.428303236,EFO
WTSPP16,PPesticides Mec Weight Jack Knife Rep 16,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.428238635,NCIT
WTSPP15,PPesticides Mec Weight Jack Knife Rep 15,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.428152197,NCIT
OHD15CJS,LOA: mesial #15 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.428121909,UBERON
LBX044,PCB44 (ng/g),RAB44 Gene,http://purl.obolibrary.org/obo/NCIT_C162426,0.428081801,NCIT
OSQ040bf,Under/over 50 when fracd. wrist 6th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.427979664,EFO
FFQ0080A,Q.80A Did you eat lean steak?,fish steak,http://purl.obolibrary.org/obo/FOODON_00002986,0.427848228,FOODON
BIXS273K,Resistance (Ohms) @ 273 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.427738138,EFO
DBD091,# of times/wk eat meals not from a home,A Great Deal of the Time,http://purl.obolibrary.org/obo/NCIT_C114706,0.427697369,NCIT
VTQ251B,How long ago since at pool hot tub?,Hot,http://purl.obolibrary.org/obo/NCIT_C62181,0.427567357,NCIT
VTD251B,How long ago since at pool hot tub?,Hot,http://purl.obolibrary.org/obo/NCIT_C62181,0.427567357,NCIT
WTSPP19,PPesticides Mec Weight Jack Knife Rep 19,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.427517588,NCIT
LBC114,PCB 114 (pg/g),CI Acid red 114,http://purl.obolibrary.org/obo/CHEBI_82302,0.427284538,CHEBI
URDGP2LC,GLU-P-2 (pg/mL) Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.427135252,NCIT
LBC206,PCB 206 (ng/g),X-206,http://purl.obolibrary.org/obo/CHEBI_80126,0.426893224,CHEBI
VTQ271A,In last 48 hrs bathe for 5+ minutes?,Minute,http://purl.obolibrary.org/obo/NCIT_C48154,0.426838893,NCIT
OHD19CJS,LOA: mesial #19 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.426753573,UBERON
WTSPP28,PPesticides Mec Weight Jack Knife Rep 28,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.426728445,NCIT
DX2HELE,Head Lean excl BMC (g),exposure to lead,http://purl.obolibrary.org/obo/ECTO_9000945,0.426594356,ECTO
DXDHELE,Head Lean excl BMC (g),exposure to lead,http://purl.obolibrary.org/obo/ECTO_9000945,0.426594356,ECTO
BIXS806K,Resistance (Ohms) @ 806 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.426448743,EFO
WTSPP21,PPesticides Mec Weight Jack Knife Rep 21,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.426377269,NCIT
BIXS649K,Resistance (Ohms) @ 649 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.42626559,EFO
WTSPP26,PPesticides Mec Weight Jack Knife Rep 26,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.426219193,NCIT
WTSPP31,PPesticides Mec Weight Jack Knife Rep 31,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.426203318,NCIT
LBDVD3LC,25OHD3 comment code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.426189111,NCIT
LEQ020,Large adult used poor thigh cuff fit,Adult,http://purl.obolibrary.org/obo/NCIT_C17600,0.42595743,NCIT
WTSPP17,PPesticides Mec Weight Jack Knife Rep 17,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.425875889,NCIT
LBX172,PCB172 (ng/g),A172,http://www.ebi.ac.uk/efo/EFO_0002101,0.425592466,EFO
DRD040Z,Was this food eaten at home?,Home,http://purl.obolibrary.org/obo/NCIT_C18002,0.425474537,NCIT
DR2_040Z,Was this food eaten at home?,Home,http://purl.obolibrary.org/obo/NCIT_C18002,0.425474537,NCIT
DR1_040Z,Was this food eaten at home?,Home,http://purl.obolibrary.org/obo/NCIT_C18002,0.425474537,NCIT
WTSPP29,PPesticides Mec Weight Jack Knife Rep 29,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.425441604,NCIT
WTSPP27,PPesticides Mec Weight Jack Knife Rep 27,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.425313056,NCIT
URDGP1LC,Glu-P-1 (pg/mL) Comment Code,Comment,http://purl.obolibrary.org/obo/NCIT_C25393,0.4253058,NCIT
BIXS582K,Resistance (Ohms) @ 582 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.425202869,EFO
OSQ040bg,Under/over 50 when fracd. wrist 7th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.425177091,EFO
BIXS469K,Resistance (Ohms) @ 469 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.4251567,EFO
OHD28CJS,LOA: mesial #28 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.425061811,UBERON
LBXPCBLA,33'44'5-pncb Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.425045514,NCIT
WTSPP33,PPesticides Mec Weight Jack Knife Rep 33,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.424713271,NCIT
WTSPP35,PPesticides Mec Weight Jack Knife Rep 35,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.424430398,NCIT
SPXBPEF,2nd Test PEF (mL/s),Test,http://purl.obolibrary.org/obo/NCIT_C47891,0.424426349,NCIT
AAXBDMAT,Impermeable Mattress Cover,Permeable (qualifier value),http://snomed.info/id/82540007,0.424401437,SNOMED
WTSPP34,PPesticides Mec Weight Jack Knife Rep 34,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.424343959,NCIT
OHD21CJS,LOA: mesial #21 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.424312414,UBERON
SS195,PCB195,MIR195 Gene,http://purl.obolibrary.org/obo/NCIT_C81749,0.42431221,NCIT
WTSPP06,PPesticides Mec Weight Jack Knife Rep 06,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.424175124,NCIT
OHD26CJS,LOA: mesial #26 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.423975775,UBERON
OHD31CJS,LOA: mesial #31 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.42394199,UBERON
URXGLP2,GLU-P2 (pg/mL),Group P2 (qualifier value),http://snomed.info/id/261601004,0.423780308,SNOMED
WTSPP05,PPesticides Mec Weight Jack Knife Rep 05,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423738557,NCIT
WTSPP40,PPesticides Mec Weight Jack Knife Rep 40,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423664464,NCIT
WTSAF2YR,2Yr AM(3-11) & fasting (12+) weights,fasting,http://www.ebi.ac.uk/efo/EFO_0002756,0.423590178,EFO
WTSPP09,PPesticides Mec Weight Jack Knife Rep 09,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423550544,NCIT
BPQ100A,Now eating fewer high fat foods,High,http://purl.obolibrary.org/obo/NCIT_C25227,0.423546965,NCIT
PAXVMH,Hour count: mins valid data no QC flag,Flag,http://purl.obolibrary.org/obo/NCIT_C43578,0.423464934,NCIT
HRDHGLC,HRXHG Hair Mercury Comment - MQL,"Mercury measurement, hair (procedure)",http://snomed.info/id/7837002,0.423424808,SNOMED
WTSPP39,PPesticides Mec Weight Jack Knife Rep 39,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423391069,NCIT
WTSPP45,PPesticides Mec Weight Jack Knife Rep 45,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423322648,NCIT
WTSPP01,PPesticides Mec Weight Jack Knife Rep 01,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423309308,NCIT
WTSPP52,PPesticides Mec Weight Jack Knife Rep 52,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423195334,NCIT
WTSPP02,PPesticides Mec Weight Jack Knife Rep 02,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423191788,NCIT
WTSPP51,PPesticides Mec Weight Jack Knife Rep 51,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.423165296,NCIT
LBDF10LC,12346789-ocdf comment code,CID 91846789,http://purl.obolibrary.org/obo/CHEBI_151737,0.423125897,CHEBI
LBDF10LC,12346789-ocdf Comment Code,CID 91846789,http://purl.obolibrary.org/obo/CHEBI_151737,0.423125897,CHEBI
VTQ281D,How long since breathed diesel fumes?,exposure to diesel fuel,http://purl.obolibrary.org/obo/ECTO_7000136,0.42308473,ECTO
VTD281D,How long since breathed diesel fumes?,exposure to diesel fuel,http://purl.obolibrary.org/obo/ECTO_7000136,0.42308473,ECTO
FFQ0097A,Q.97A Did you eat soup winter?,Winter,http://purl.obolibrary.org/obo/NCIT_C94730,0.42302835,NCIT
AUQ060,Hear a whisper from across a quiet room?,Room,http://purl.obolibrary.org/obo/NCIT_C69074,0.42292515,NCIT
WTSPP42,PPesticides Mec Weight Jack Knife Rep 42,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422891147,NCIT
WTSPP04,PPesticides Mec Weight Jack Knife Rep 04,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422862397,NCIT
WTSPP37,PPesticides Mec Weight Jack Knife Rep 37,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.42283334,NCIT
SMQ858,Last 7-d at job someone smoked indoors?,Someone There,http://purl.obolibrary.org/obo/NCIT_C172728,0.422819456,NCIT
WTSPP46,PPesticides Mec Weight Jack Knife Rep 46,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422796657,NCIT
WTSPP03,PPesticides Mec Weight Jack Knife Rep 03,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422765181,NCIT
LBDPDTLC,ppDDT Comment Code,DDT,http://purl.obolibrary.org/obo/CHEBI_16130,0.422738148,CHEBI
WTSPP48,PPesticides Mec Weight Jack Knife Rep 48,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422737048,NCIT
VTQ281C,In past 48 hrs breathe diesel fumes?,exposure to diesel fuel,http://purl.obolibrary.org/obo/ECTO_7000136,0.422727789,ECTO
WTSPP49,PPesticides Mec Weight Jack Knife Rep 49,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422631854,NCIT
WTSPP07,PPesticides Mec Weight Jack Knife Rep 07,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.4225617,NCIT
WTSPP32,PPesticides Mec Weight Jack Knife Rep 32,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422548494,NCIT
URDPHPLC,PhlP (pg/mL) Comment Code,PHLPP1 Gene,http://purl.obolibrary.org/obo/NCIT_C101355,0.422508263,NCIT
WTSPP08,PPesticides Mec Weight Jack Knife Rep 08,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.42245507,NCIT
FFQ0130A,Q.130A What kind of milk added?,MIR130A Gene,http://purl.obolibrary.org/obo/NCIT_C80755,0.422452368,NCIT
WTSPP38,PPesticides Mec Weight Jack Knife Rep 38,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.422449624,NCIT
SS153,PCB153,CB155,http://www.ebi.ac.uk/efo/EFO_0004075,0.422436023,EFO
PFQ020,Crawl walk run play limitations,Able to crawl (finding),http://snomed.info/id/282607006,0.422404363,SNOMED
