"Table","Table Name","Data Group","Year"
"LAB18T4","Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)","LABORATORY",1999
"LAB19","Measles, Rubella, & Varicella","LABORATORY",1999
"LAB20","Lead - Dust","LABORATORY",1999
"LAB21","Volatile Organic Compounds (VOC) - Personal Exposure Badge","LABORATORY",1999
"LAB25","Complete Blood Count with 5-part Differential - Whole Blood","LABORATORY",1999
"LAB22","Mercury - Hair","LABORATORY",1999
"LAB28POC","Dioxins, Furans, & Coplanar PCBs","LABORATORY",1999
"SSFOL_A","Folic Acid - Unmetabolized (Surplus)","LABORATORY",1999
"lab09","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",1999
"Lab02","Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody","LABORATORY",1999
"SSCYST_A","Cystatin C - Serum (Surplus)","LABORATORY",1999
"SSHSV1_A","Herpes Simplex Virus Type-1 (Surplus)","LABORATORY",1999
"SSMUMP_A","Mumps Antibody - Serum (Surplus)","LABORATORY",1999
"SSPFC_A","Perfluoroaokyl Chemicals - Serum (Surplus)","LABORATORY",1999
"SSTFR_A","Transferrin Receptor - Pregnant Women (Surplus)","LABORATORY",1999
"SSVARI_A","Varicella-Zoster Virus Antibody (Surplus)","LABORATORY",1999
"LAB26PP","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","LABORATORY",1999
"SSOL_A","Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)","LABORATORY",1999
"SSAFB_A","Aflatoxin B1-lysine - Serum (Surplus)","LABORATORY",1999
"TELO_A","Telomere Mean and Standard Deviation (Surplus)","LABORATORY",1999
"TFA_A","Trans Fatty Acids","LABORATORY",1999
"SSAMH_A","Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)","LABORATORY",1999
"SSNORO_A","Norovirus antibody - Serum","LABORATORY",1999
"SSCMV_A","Cytomegalovirus Antibodies - Serum (Surplus)","LABORATORY",1999
"RXQ_RX","Prescription Medications","QUESTIONNAIRE",1999
"CIQGAD","Mental Health - Generalized Anxiety Disorder","QUESTIONNAIRE",1999
"CIQMDEP","Mental Health - Depression","QUESTIONNAIRE",1999
"CIQPANIC","Mental Health - Panic Disorder","QUESTIONNAIRE",1999
"ACQ","Acculturation","QUESTIONNAIRE",1999
"ALQ","Alcohol Use","QUESTIONNAIRE",1999
"AUQ","Audiometry","QUESTIONNAIRE",1999
"BAQ","Balance","QUESTIONNAIRE",1999
"BPQ","Blood Pressure & Cholesterol","QUESTIONNAIRE",1999
"CDQ","Cardiovascular Health","QUESTIONNAIRE",1999
"CFQ","Cognitive Functioning","QUESTIONNAIRE",1999
"HSQ","Current Health Status","QUESTIONNAIRE",1999
"DEQ","Dermatology","QUESTIONNAIRE",1999
"DIQ","Diabetes","QUESTIONNAIRE",1999
"DBQ","Diet Behavior & Nutrition","QUESTIONNAIRE",1999
"DUQ","Drug Use","QUESTIONNAIRE",1999
"ECQ","Early Childhood","QUESTIONNAIRE",1999
"FSQ","Food Security","QUESTIONNAIRE",1999
"HIQ","Health Insurance","QUESTIONNAIRE",1999
"HUQ","Hospital Utilization & Access to Care","QUESTIONNAIRE",1999
"HOQ","Housing Characteristics","QUESTIONNAIRE",1999
"IMQ","Immunization","QUESTIONNAIRE",1999
"KIQ","Kidney Conditions","QUESTIONNAIRE",1999
"MCQ","Medical Conditions","QUESTIONNAIRE",1999
"MPQ","Miscellaneous Pain","QUESTIONNAIRE",1999
"OCQ","Occupation","QUESTIONNAIRE",1999
"OHQ","Oral Health","QUESTIONNAIRE",1999
"OSQ","Osteoporosis","QUESTIONNAIRE",1999
"RXQ_ANA","Analgesic Pain Relievers","QUESTIONNAIRE",1999
"PUQ","Pesticide Use","QUESTIONNAIRE",1999
"PAQ","Physical Activity","QUESTIONNAIRE",1999
"PAQIAF","Physical Activity - Individual Activities","QUESTIONNAIRE",1999
"PFQ","Physical Functioning","QUESTIONNAIRE",1999
"RHQ","Reproductive Health","QUESTIONNAIRE",1999
"RDQ","Respiratory Health","QUESTIONNAIRE",1999
"SXQ","Sexual Behavior","QUESTIONNAIRE",1999
"SMQMEC","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use","QUESTIONNAIRE",1999
"SMQ","Smoking - Cigarette/Tobacco Use - Adult","QUESTIONNAIRE",1999
"SSQ","Social Support","QUESTIONNAIRE",1999
"TBQ","Tuberculosis","QUESTIONNAIRE",1999
"VIQ","Vision","QUESTIONNAIRE",1999
"WHQ","Weight History","QUESTIONNAIRE",1999
"SMQFAM","Smoking - Household Smokers","QUESTIONNAIRE",1999
"DEMO_B","Demographic Variables & Sample Weights","DEMOGRAPHICS",2001
"DRXTOT_B","Dietary Interview - Total Nutrient Intakes","DIETARY",2001
"DRXIFF_B","Dietary Interview - Individual Foods","DIETARY",2001
"DSQ1_B","Dietary Supplement Use 30-Day - File 1, Supplement Counts","DIETARY",2001
"DSQ2_B","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","DIETARY",2001
"DXX_2_B","Dual-Energy X-ray Absorptiometry - Whole Body, Second Exam","EXAMINATION",2001
"AUX_B","Audiometry","EXAMINATION",2001
"AUXTYM_B","Audiometry - Tympanometry","EXAMINATION",2001
"BAX_B","Balance","EXAMINATION",2001
"BIX_B","Bioelectrical Impedance Analysis","EXAMINATION",2001
"BMX_B","Body Measures","EXAMINATION",2001
"BPX_B","Blood Pressure","EXAMINATION",2001
"CVX_B","Cardiovascular Fitness","EXAMINATION",2001
"LEXPN_B","Lower Extremity Disease - Peripheral Neuropathy","EXAMINATION",2001
"MSX_B","Muscle Strength","EXAMINATION",2001
"OHXDEN_B","Oral Health - Dentition","EXAMINATION",2001
"OHXPRL_B","Oral Health - Periodontal/Lower","EXAMINATION",2001
"OHXPRU_B","Oral Health - Periodontal/Upper","EXAMINATION",2001
"OHXREF_B","Oral Health - Recommendation of Care","EXAMINATION",2001
"VIX_B","Vision","EXAMINATION",2001
"LEXAB_B","Lower Extremity Disease - Ankle Brachial Blood Pressure Index","EXAMINATION",2001
"AUXAR_B","Audiometry - Acoustic Reflex","EXAMINATION",2001
"SSCHL_B","Sex Steroid Hormone - Men (Surplus)","LABORATORY",2001
"l13_b","Cholesterol - Total & HDL","LABORATORY",2001
"l11p_2_b","Prostate-specific Antigen (PSA), Second Exam","LABORATORY",2001
"L11_2_b","C-Reactive Protein & Others, Second Exam","LABORATORY",2001
"l09_b","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",2001
"l13_2_b","Cholesterol - Total, HDL, LDL  & Triglycerides, Second Exam","LABORATORY",2001
"L19_2_B","Measles, Rubella, & Varicella, Second Exam","LABORATORY",2001
"L16_2_B","Creatinine & Albumin - Urine, Second Exam","LABORATORY",2001
"l25_2_b","Complete Blood Count with 5-part Differential - Whole Blood, Second Exam","LABORATORY",2001
"l39_2_b","Erythrocyte Protoporphyrin","LABORATORY",2001
"VIT_2_B","Vitamin A, Vitamin E, & Carotenoids, Second Exam","LABORATORY",2001
"L02_B","Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody","LABORATORY",2001
"l34_b","Bacterial vaginosis (BV) & Trichomonas vaginalis","LABORATORY",2001
"SSCYST_B","Cystatin C (Surplus)","LABORATORY",2001
"SSHSV1_B","Herpes Simplex Virus Type-1 (Surplus)","LABORATORY",2001
"SSMUMP_B","Mumps Antibody - Serum (Surplus)","LABORATORY",2001
"SSNO3P_B","Perchlorate, Nitrate & Thiocyanate - Urine (Surplus)","LABORATORY",2001
"SSTFR_B","Transferrin Receptor - Pregnant Women (Surplus)","LABORATORY",2001
"SSVARI_B","Varicella-Zoster Virus Antibody (Surplus)","LABORATORY",2001
"PH_B","Fasting Questionnaire","LABORATORY",2001
"PHPYPA_B","Phthalates, Phytoestrogens & PAHs - Urine","LABORATORY",2001
"UC_B","Pregnancy Test - Urine","LABORATORY",2001
"L02HBS_B","Hepatitis B Surface Antibody","LABORATORY",2001
"L02HPA_B","Hepatitis A Antibody","LABORATORY",2001
"L03_B","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells","LABORATORY",2001
"L04VOC_B","Volatile Organic Compounds - Blood & Water","LABORATORY",2001
"L05_B","Chlamydia & Gonorrhea - Urine","LABORATORY",2001
"L06_B","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","LABORATORY",2001
"L06VIT_B","Vitamin A, Vitamin E & Carotenoids","LABORATORY",2001
"L06VID_B","Vitamin D","LABORATORY",2001
"L06UIO_B","Iodine - Urine","LABORATORY",2001
"L06HM_B","Metals - Urine","LABORATORY",2001
"L10_B","Glycohemoglobin","LABORATORY",2001
"L10AM_B","Plasma Fasting Glucose, Serum C-peptide & Insulin","LABORATORY",2001
"L11_B","C-Reactive protein (CRP), Fibrinogen, Bone Alkaline Phosphatase & Urinary N-telopeptides","LABORATORY",2001
"L11PSA_B","Prostate specific antigen (PSA)","LABORATORY",2001
"L13AM_B","Cholesterol - LDL & Triglycerides","LABORATORY",2001
"L16_B","Albumin & Creatinine - Urine","LABORATORY",2001
"L17_B","Toxoplasma (IgG), Toxoplasma (IgM),Toxoplasma (Dye),Toxoplasma Differential Agglutination, & Toxoplasma (Avidity)","LABORATORY",2001
"L19_B","Measles, Rubella, & Varicella","LABORATORY",2001
"L20_B","Lead - Dust","LABORATORY",2001
"L25_B","Complete Blood Count with 5-part Differential - Whole Blood","LABORATORY",2001
"l26PP_B","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","LABORATORY",2001
"L28POC_B","Dioxins, Furans, & Coplanar PCBs","LABORATORY",2001
"L35_B","Methicillin - Resistant Staphylococcus aureus (MRSA)","LABORATORY",2001
"L36_B","Syphilis-IgG, Syphilis Rapid Plasma Reagin (RPR) & Treponema pallidum Particle Agglutination (TP-PA)","LABORATORY",2001
"L39_B","Erythrocyte Protoporphyrin","LABORATORY",2001
"L40_B","Standard Biochemistry Profile","LABORATORY",2001
"L40T4_B","Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)","LABORATORY",2001
"L40FE_B","Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation","LABORATORY",2001
"VID_2_B","Vitamin D, Second Exam","LABORATORY",2001
"L06_2_B","Cadmium, Lead, Total Mercury, Ferritin, Serum Folate, RBC Folate, Vitamin B12, Homocysteine, Methylmalonic acid, Cotinine - Bloo","LABORATORY",2001
"L10_2_B","Glycohemoglobin, Plasma Glucose, Serum C-peptide, & Insulin, Second Exam","LABORATORY",2001
"L40_2_B","Standard Biochemistry Profile, Follicle Stimulating Hormone & Luteinizing Hormone, Second Exam","LABORATORY",2001
"SSOL_B","Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)","LABORATORY",2001
"SSBFR_B","Brominated Flame Retardants (BFRs) - Pooled Samples (Surplus)","LABORATORY",2001
"SSPCB_B","Non-dioxin-like Polychlorinated Biphenyls - Pooled Samples (Surplus Sera)","LABORATORY",2001
"SSPST_B","Pesticides - Organochlorine Metabolites - Serum - Pooled Samples (Surplus)","LABORATORY",2001
"TELO_B","Telomere Mean and Standard Deviation (Surplus)","LABORATORY",2001
"VID_B","Vitamin D","LABORATORY",2001
"SSAMH_B","Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)","LABORATORY",2001
"SSCMV_B","Cytomegalovirus Antibodies - Serum (Surplus)","LABORATORY",2001
"SSCA_B","Cancer antigen CA125 and CA15.3 - Serum (Surplus)","LABORATORY",2001
"SSHE4_B","Human epididymal secretory protein E4 (HE4) - Serum (Surplus)","LABORATORY",2001
"SSCGA_B","Cancer antigen CA125, CA15.3 and HE4 IgG antibodies - Serum (Surplus)","LABORATORY",2001
"WHQ_B","Weight History","QUESTIONNAIRE",2001
"ACQ_B","Acculturation","QUESTIONNAIRE",2001
"ALQ_B","Alcohol Use","QUESTIONNAIRE",2001
"RXQANA_B","Analgesic Pain Relievers","QUESTIONNAIRE",2001
"AUQ_B","Audiometry","QUESTIONNAIRE",2001
"BAQ_B","Balance","QUESTIONNAIRE",2001
"BPQ_B","Blood Pressure & Cholesterol","QUESTIONNAIRE",2001
"CDQ_B","Cardiovascular Health","QUESTIONNAIRE",2001
"CFQ_B","Cognitive Functioning","QUESTIONNAIRE",2001
"HSQ_B","Current Health Status","QUESTIONNAIRE",2001
"DEQ_B","Dermatology","QUESTIONNAIRE",2001
"DIQ_B","Diabetes","QUESTIONNAIRE",2001
"DBQ_B","Diet Behavior & Nutrition","QUESTIONNAIRE",2001
"DUQ_B","Drug Use","QUESTIONNAIRE",2001
"ECQ_B","Early Childhood","QUESTIONNAIRE",2001
"SMQFAM_B","Smoking - Household Smokers","QUESTIONNAIRE",2001
"FSQ_B","Food Security","QUESTIONNAIRE",2001
"HIQ_B","Health Insurance","QUESTIONNAIRE",2001
"HCQ_B","Hepatitis C Follow Up","QUESTIONNAIRE",2001
"HUQ_B","Hospital Utilization & Access to Care","QUESTIONNAIRE",2001
"HOQ_B","Housing Characteristics","QUESTIONNAIRE",2001
"IMQ_B","Immunization","QUESTIONNAIRE",2001
"MCQ_B","Medical Conditions","QUESTIONNAIRE",2001
"MPQ_B","Miscellaneous Pain","QUESTIONNAIRE",2001
"OCQ_B","Occupation","QUESTIONNAIRE",2001
"OSQ_B","Osteoporosis","QUESTIONNAIRE",2001
"PUQ_B","Pesticide Use","QUESTIONNAIRE",2001
"PAQ_B","Physical Activity","QUESTIONNAIRE",2001
"PAQIAF_B","Physical Activity - Individual Activities","QUESTIONNAIRE",2001
"PFQ_B","Physical Functioning","QUESTIONNAIRE",2001
"KIQ_P_B","Prostate Conditions","QUESTIONNAIRE",2001
"RHQ_B","Reproductive Health","QUESTIONNAIRE",2001
"RDQ_B","Respiratory Health","QUESTIONNAIRE",2001
"SXQ_B","Sexual Behavior","QUESTIONNAIRE",2001
"SSQ_B","Social Support","QUESTIONNAIRE",2001
"SMQ_B","Smoking - Cigarette/Tobacco Use - Adult","QUESTIONNAIRE",2001
"SMQMEC_B","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use","QUESTIONNAIRE",2001
"KIQ_U_B","Kidney Conditions - Urology","QUESTIONNAIRE",2001
"VIQ_B","Vision","QUESTIONNAIRE",2001
"RXQ_RX_B","Prescription Medications","QUESTIONNAIRE",2001
"CIQPAN_B","Mental Health - Panic Disorder","QUESTIONNAIRE",2001
"CIQGAD_B","Mental Health - Generalized Anxiety Disorder","QUESTIONNAIRE",2001
"CIQDEP_B","Mental Health - Depression","QUESTIONNAIRE",2001
"OHQ_B","Oral Health","QUESTIONNAIRE",2001
"DEMO_C","Demographic Variables & Sample Weights","DEMOGRAPHICS",2003
"FFQRAW_C","Food Frequency Questionnaire - Raw Questionnaire Responses","DIETARY",2003
"FFQDC_C","Food Frequency Questionnaire - Output from DietCalc Software","DIETARY",2003
"DRXFCD_C","Dietary Interview Technical Support File - Food Codes","DIETARY",2003
"DR1TOT_C","Dietary Interview - Total Nutrient Intakes, First Day","DIETARY",2003
"DR2TOT_C","Dietary Interview - Total Nutrient Intakes, Second Day","DIETARY",2003
"DR2IFF_C","Dietary Interview - Individual Foods, Second Day","DIETARY",2003
"DR1IFF_C","Dietary Interview - Individual Foods, First Day","DIETARY",2003
"DSQ1_C","Dietary Supplement Use 30-Day - File 1, Supplement Counts","DIETARY",2003
"DSQ2_C","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","DIETARY",2003
"DRXMCD_C","Dietary Interview Technical Support File - Modification Codes","DIETARY",2003
"AUX_C","Audiometry","EXAMINATION",2003
"AUXTYM_C","Audiometry - Tympanometry","EXAMINATION",2003
"BAX_C","Balance","EXAMINATION",2003
"BIX_C","Bioelectrical Impedance Analysis","EXAMINATION",2003
"BPX_C","Blood Pressure","EXAMINATION",2003
"BMX_C","Body Measures","EXAMINATION",2003
"CVX_C","Cardiovascular Fitness","EXAMINATION",2003
"DEX_C","Dermatology","EXAMINATION",2003
"LEXAB_C","Lower Extremity Disease - Ankle Brachial Blood Pressure Index","EXAMINATION",2003
"LEXPN_C","Lower Extremity Disease - Peripheral Neuropathy","EXAMINATION",2003
"OHXADD_C","Oral Health - Addendum","EXAMINATION",2003
"OHXDEN_C","Oral Health - Dentition","EXAMINATION",2003
"OHXPRL_C","Oral Health - Periodontal/Lower","EXAMINATION",2003
"OHXPRU_C","Oral Health - Periodontal/Upper","EXAMINATION",2003
"OHXREF_C","Oral Health - Recommendation of Care","EXAMINATION",2003
"PAXRAW_C","Physical Activity Monitor","EXAMINATION",2003
"VIX_C","Vision","EXAMINATION",2003
"DXXAG_C","Dual Energy X-ray Absorptiometry - Android/Gynoid","EXAMINATION",2003
"AUXAR_C","Audiometry - Acoustic Reflex","EXAMINATION",2003
"L24PP_C","Pesticides - Environmental - Urine","LABORATORY",2003
"L26UPP_C","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","LABORATORY",2003
"L06PHY_C","Phytoestrogens - Urine","LABORATORY",2003
"L06VIT_C","Vitamin C","LABORATORY",2003
"SSCHL_C","Sex Steroid Hormone - Men (Surplus)","LABORATORY",2003
"SSMEL_C","Melamine - Urine (Surplus)","LABORATORY",2003
"l13_c","Cholesterol - Total & HDL","LABORATORY",2003
"l09_c","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",2003
"L02_C","Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody","LABORATORY",2003
"L02HBS_C","Hepatitis B Surface Antibody","LABORATORY",2003
"L02HPA_C","Hepatitis A Antibody","LABORATORY",2003
"L03_C","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells","LABORATORY",2003
"L04PER_C","Perchlorate - Urine","LABORATORY",2003
"L04VOC_C","Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items","LABORATORY",2003
"L05_C","Chlamydia & Gonorrhea - Urine","LABORATORY",2003
"L06AGE_C","Acrylamide & Glycidamide","LABORATORY",2003
"L06BMT_C","Cadmium, Lead, & Total Mercury - Blood","LABORATORY",2003
"L06MH_C","Methylmalonic acid & Homocysteine","LABORATORY",2003
"L06NB_C","Folate - RBC & Serum, and Vitamin B12","LABORATORY",2003
"L06COT_C","Cotinine - Serum","LABORATORY",2003
"L06TFR_C","Ferritin & Transferrin Receptor","LABORATORY",2003
"L06HM_C","Metals - Urine","LABORATORY",2003
"L06UIO_C","Iodine - Urine","LABORATORY",2003
"L06UAS_C","Arsenics - Total & Speciated - Urine","LABORATORY",2003
"L06UHG_C","Mercury: Inorganic - Urine","LABORATORY",2003
"L10_C","Glycohemoglobin","LABORATORY",2003
"L10AM_C","Plasma Fasting Glucose, Serum C-peptide & Insulin","LABORATORY",2003
"L11_C","C-Reactive Protein (CRP), Bone Alkaline Phosphatase (BAP) & Parathyroid Hormone (PTH)","LABORATORY",2003
"L11PSA_C","Prostate Specific Antigen (PSA)","LABORATORY",2003
"L13AM_C","Cholesterol - LDL & Triglycerides","LABORATORY",2003
"L16_C","Albumin & Creatinine - Urine","LABORATORY",2003
"L17_C","Toxoplasma (IgG) & Toxoplasma (IgM)","LABORATORY",2003
"L19_C","Measles, Rubella, & Varicella","LABORATORY",2003
"L20_C","Lead - Dust","LABORATORY",2003
"L24EPH_C","Environmental Phenols","LABORATORY",2003
"L24PFC_C","Polyfluoroalkyl Chemicals","LABORATORY",2003
"L24PH_C","Phthalates - Urine","LABORATORY",2003
"L25_C","Complete Blood Count with 5-part Differential - Whole Blood","LABORATORY",2003
"L26OPD_C","Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine","LABORATORY",2003
"L28DFP_C","Dioxins, Furans, & Coplanar PCBs","LABORATORY",2003
"L28NPB_C","Non-dioxin-like Polychlorinated Biphenyls","LABORATORY",2003
"L28OCP_C","Pesticides - Organochlorine Metabolites - Serum (Surplus)","LABORATORY",2003
"L28PBE_C","Brominated Flame Retardants (BFRs)","LABORATORY",2003
"L31PAH_C","Polyaromatic Hydrocarbons (PAHs) - Urine","LABORATORY",2003
"L35_C","Methicillin - Resistant Staphylococcus aureus (MRSA)","LABORATORY",2003
"L36_C","Syphilis-IgG, Syphilis Rapid Plasma Reagin (RPR) & Treponema pallidum Particle Agglutination (TP-PA)","LABORATORY",2003
"L39EPP_C","Erythrocyte Protoporphyrin & Selenium","LABORATORY",2003
"L40_C","Standard Biochemistry Profile","LABORATORY",2003
"L40FE_C","Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation","LABORATORY",2003
"L43_C","Vitamin B6","LABORATORY",2003
"L45VIT_C","Vitamin A, Vitamin E & Carotenoids","LABORATORY",2003
"L52SER_C","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA","LABORATORY",2003
"PH_C","Fasting Questionnaire","LABORATORY",2003
"UC_C","Pregnancy Test - Urine","LABORATORY",2003
"SSQFEV_C","Coxiella Burnetii (Q Fever) Antibodies - Serum (Surplus)","LABORATORY",2003
"SSMUMP_C","Mumps Antibody - Serum (Surplus)","LABORATORY",2003
"SSVARI_C","Varicella-Zoster Virus Antibody (Surplus)","LABORATORY",2003
"l34_c","Bacterial vaginosis (BV) & Trichomonas vaginalis","LABORATORY",2003
"L37SWA_C","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Prototype Line Blot Assay","LABORATORY",2003
"L37SWR_C","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array","LABORATORY",2003
"L06VID_C","Vitamin D","LABORATORY",2003
"SSFA_C","Fatty Acids - Plasma (Surplus)","LABORATORY",2003
"SSEBV_C","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)","LABORATORY",2003
"SSHCVR_C","Hepatitis C RNA (HCV-RNA) & HCV Genotype (Surplus)","LABORATORY",2003
"SSOL_C","Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)","LABORATORY",2003
"VID_C","Vitamin D","LABORATORY",2003
"SSAMH_C","Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)","LABORATORY",2003
"SSNORO_C","Norovirus antibody - Serum","LABORATORY",2003
"SSCMV_C","Cytomegalovirus Antibodies - Serum (Surplus)","LABORATORY",2003
"CDQ_C","Cardiovascular Health","QUESTIONNAIRE",2003
"ACQ_C","Acculturation","QUESTIONNAIRE",2003
"ALQ_C","Alcohol Use","QUESTIONNAIRE",2003
"RXQANA_C","Analgesic Pain Relievers","QUESTIONNAIRE",2003
"AUQ_C","Audiometry","QUESTIONNAIRE",2003
"BAQ_C","Balance","QUESTIONNAIRE",2003
"BPQ_C","Blood Pressure & Cholesterol","QUESTIONNAIRE",2003
"HSQ_C","Current Health Status","QUESTIONNAIRE",2003
"DEQ_C","Dermatology","QUESTIONNAIRE",2003
"DIQ_C","Diabetes","QUESTIONNAIRE",2003
"DBQ_C","Diet Behavior & Nutrition","QUESTIONNAIRE",2003
"DUQ_C","Drug Use","QUESTIONNAIRE",2003
"ECQ_C","Early Childhood","QUESTIONNAIRE",2003
"SMQFAM_C","Smoking - Household Smokers","QUESTIONNAIRE",2003
"FSQ_C","Food Security","QUESTIONNAIRE",2003
"HIQ_C","Health Insurance","QUESTIONNAIRE",2003
"HOQ_C","Housing Characteristics","QUESTIONNAIRE",2003
"HCQ_C","Hepatitis C Follow Up","QUESTIONNAIRE",2003
"HUQ_C","Hospital Utilization & Access to Care","QUESTIONNAIRE",2003
"IMQ_C","Immunization","QUESTIONNAIRE",2003
"KIQ_U_C","Kidney Conditions - Urology","QUESTIONNAIRE",2003
"MCQ_C","Medical Conditions","QUESTIONNAIRE",2003
"MPQ_C","Miscellaneous Pain","QUESTIONNAIRE",2003
"OCQ_C","Occupation","QUESTIONNAIRE",2003
"OHQ_C","Oral Health","QUESTIONNAIRE",2003
"OSQ_C","Osteoporosis","QUESTIONNAIRE",2003
"PUQ_C","Pesticide Use","QUESTIONNAIRE",2003
"PAQ_C","Physical Activity","QUESTIONNAIRE",2003
"PAQIAF_C","Physical Activity - Individual Activities","QUESTIONNAIRE",2003
"PFQ_C","Physical Functioning","QUESTIONNAIRE",2003
"RXQ_RX_C","Prescription Medications","QUESTIONNAIRE",2003
"KIQ_P_C","Prostate Conditions","QUESTIONNAIRE",2003
"PSQ_C","Prostate Specific Antigen Follow-up","QUESTIONNAIRE",2003
"RHQ_C","Reproductive Health","QUESTIONNAIRE",2003
"RDQ_C","Respiratory Health","QUESTIONNAIRE",2003
"SMQ_C","Smoking - Cigarette/Tobacco Use - Adult","QUESTIONNAIRE",2003
"SMQMEC_C","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use","QUESTIONNAIRE",2003
"SSQ_C","Social Support","QUESTIONNAIRE",2003
"SXQ_C","Sexual Behavior","QUESTIONNAIRE",2003
