"Table"	"TableName"	"BeginYear"	"EndYear"	"DataGroup"	"UseConstraints"	"DocFile"	"DataFile"	"DatePublished"
"LAB13AM"	"Cholesterol - LDL & Triglycerides"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13AM.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13AM.XPT"	"Updated March 2007"
"LAB16"	"Albumin & Creatinine - Urine"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB16.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB16.XPT"	"June 2002"
"LAB17"	"Cryptosporidum & Toxoplasma"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB17.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB17.XPT"	"June 2002"
"LAB18"	"Standard Biochemistry Profile & Hormones"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB18.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB18.XPT"	"Updated August 2006"
"LAB18T4"	"Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB18T4.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB18T4.XPT"	"Updated February 2008"
"LAB19"	"Measles, Rubella, & Varicella"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB19.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB19.XPT"	"December 2004"
"LAB20"	"Lead - Dust"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB20.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB20.XPT"	"June 2006"
"LAB21"	"Volatile Organic Compounds (VOC) - Personal Exposure Badge"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB21.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB21.XPT"	"April 2005"
"LAB25"	"Complete Blood Count with 5-part Differential - Whole Blood"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB25.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB25.XPT"	"Updated April 2006"
"LAB22"	"Mercury - Hair"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB22.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB22.XPT"	"Updated January 2005"
"LAB28POC"	"Dioxins, Furans, & Coplanar PCBs"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB28POC.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB28POC.XPT"	"Updated January 2009"
"L11_2_R"	"C-Reactive Protein & Others, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L11_2_R.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L11_2_R.XPT"	
"SSFOL_A"	"Folic Acid - Unmetabolized (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSFOL_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSFOL_A.XPT"	"Updated April 2022"
"l09rdc_a"	"Herpes Simplex Virus Type-2 - Youth"	"1999"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/l09rdc_a.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/l09rdc_a.XPT"	
"lab09"	"Herpes Simplex Virus Type-1 & Type-2"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/lab09.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/lab09.XPT"	
"L05RDC_A"	"Chlamydia & Gonorrhea - Urine - Youth"	"1999"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L05RDC_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L05RDC_A.XPT"	
"L06_2_00"	"Cadmium, Lead, Ferritin, Serum Folate, RBC Folate, Vitamin B12, Homocysteine, Methylmalonic acid, Cotinine & Other Selected Nutr"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L06_2_00.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L06_2_00.XPT"	
"VID_2_00"	"Vitamin D, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/VID_2_00.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/VID_2_00.XPT"	
"l10_2_00"	"Glycohemoglobin, Plasma Glucose, Serum C-peptide, & Insulin, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l10_2_00.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l10_2_00.XPT"	
"l18_2_00"	"Standard Biochemistry Profile & Hormones, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l18_2_00.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l18_2_00.XPT"	
"l13_2_r"	"Cholesterol - Total, HDL, LDL  & Triglycerides, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l13_2_r.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l13_2_r.XPT"	
"L19_2_R"	"Measles, Rubella, & Varicella, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L19_2_R.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L19_2_R.XPT"	
"L16_2_R"	"Creatinine & Albumin - Urine, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L16_2_R.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/L16_2_R.XPT"	
"l25_2_r"	"Complete Blood Count with 5-part Differential - Whole Blood, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l25_2_r.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/l25_2_r.XPT"	
"VIT_2_R"	"Vitamin A & Vitamin E, Second Exam"	"2000"	"2000"	"Laboratory"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/VIT_2_R.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/VIT_2_R.XPT"	
"Lab02"	"Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/Lab02.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/Lab02.XPT"	
"SSCYST_A"	"Cystatin C - Serum (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCYST_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCYST_A.XPT"	"Updated April 2022"
"SSHSV1_A"	"Herpes Simplex Virus Type-1 (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSHSV1_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSHSV1_A.XPT"	"Updated April 2022"
"SSMUMP_A"	"Mumps Antibody - Serum (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSMUMP_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSMUMP_A.XPT"	"Updated April 2022"
"SSPFC_A"	"Perfluoroalkyl Chemicals - Serum (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSPFC_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSPFC_A.XPT"	"Updated December 2022"
"SSTFR_A"	"Transferrin Receptor - Pregnant Women (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSTFR_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSTFR_A.XPT"	"Updated April 2022"
"SSVARI_A"	"Varicella-Zoster Virus Antibody (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSVARI_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSVARI_A.XPT"	"March 2009"
"LAB26PP"	"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB26PP.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB26PP.XPT"	"Updated January 2012"
"SSOL_A"	"Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSOL_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSOL_A.XPT"	"Updated April 2022"
"SSAFB_A"	"Aflatoxin B1-lysine - Serum (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSAFB_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSAFB_A.XPT"	"Updated April 2022"
"TELO_A"	"Telomere Mean and Standard Deviation (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TELO_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TELO_A.XPT"	"Updated February 2015"
"TFA_A"	"Trans Fatty Acids"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TFA_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TFA_A.XPT"	"Updated March 2019"
"SSAMH_A"	"Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSAMH_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSAMH_A.XPT"	"Updated April 2022"
"SSNORO_A"	"Norovirus antibody - Serum"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSNORO_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSNORO_A.XPT"	"Updated April 2022"
"SSCMV_A"	"Cytomegalovirus Antibodies - Serum (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCMV_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCMV_A.XPT"	"Updated April 2022"
"RXQ_RX"	"Prescription Medications"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_RX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_RX.XPT"	"Updated June 2009"
"ALQYTH"	"Alcohol Use - Youth"	"1999"	"2000"	"Questionnaire"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQYTH.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQYTH.XPT"	
"CIQGAD"	"Mental Health - Generalized Anxiety Disorder"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQGAD.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQGAD.XPT"	"Updated March 2006"
"CIQMDEP"	"Mental Health - Depression"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQMDEP.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQMDEP.XPT"	"Updated March 2006"
"CIQPANIC"	"Mental Health - Panic Disorder"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQPANIC.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CIQPANIC.XPT"	"Updated March 2006"
"ACQ"	"Acculturation"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ACQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ACQ.XPT"	"June 2002"
"ALQ"	"Alcohol Use"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQ.XPT"	"June 2002"
"AUQ"	"Audiometry"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUQ.XPT"	"June 2002"
"BAQ"	"Balance"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAQ.XPT"	"June 2002"
"BPQ"	"Blood Pressure & Cholesterol"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPQ.XPT"	"June 2002"
"CDQ"	"Cardiovascular Health"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CDQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CDQ.XPT"	"June 2002"
"CFQ"	"Cognitive Functioning"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CFQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CFQ.XPT"	"January 2005"
"HSQ"	"Current Health Status"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/HSQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/HSQ.XPT"	"June 2002"
"DEQ"	"Dermatology"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEQ.XPT"	"June 2002"
"DIQ"	"Diabetes"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DIQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DIQ.XPT"	"June 2002"
"DBQ"	"Diet Behavior & Nutrition"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DBQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DBQ.XPT"	"June 2002"
"DUQ"	"Drug Use"	"1999"	"2000"	"Questionnaire"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DUQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DUQ.XPT"	"June 2002"
